adjective,noun,article,adj_article,llama_405b_base_judgment
light,ball,a,a,rarely
hammer,fork,a,a,never
farm,game,a,a,almost always
caterpillar,walking,,,never
wet,day,a,a,sometimes
red,roof,a,a,never
pink,collar,a,a,often
top,coat,a,a,never
bear,walking,,,never
flower,box,a,a,never
kid,cartoon,a,a,often
yellow,paper,a,a,never
skating,girl,a,a,about half the time
dead,brother,a,a,almost always
lady,song,a,a,sometimes
pink,ear,an,a,almost always
cookie,dough,,,about half the time
light,green,,,sometimes
edge,piece,a,an,always
computer,scientist,a,a,about half the time
orange,star,a,an,about half the time
farmer,lady,a,a,never
troll,bridge,a,a,never
fire,truck,a,a,never
slate,mine,a,a,rarely
brown,barn,a,a,sometimes
gold,game,a,a,never
police,car,a,a,almost always
tan,lotion,,,rarely
rectangle,diamond,a,a,rarely
baby,basket,a,a,never
broken,piece,a,a,about half the time
thick,person,a,a,never
fish,book,a,a,never
purple,lollipop,a,a,never
hot,pot,a,a,always
hall,servant,a,a,almost always
crispy,piece,a,a,never
dictionary,writer,a,a,never
thick,sandwich,a,a,often
square,block,a,a,always
puppy,dog,a,a,sometimes
farmer,truck,a,a,sometimes
yellow,baby,a,a,never
hot,plastic,,,never
hot,mommy,a,a,never
mud,puddle,a,a,often
arcade,music,,,sometimes
green,field,a,a,almost always
cocktail,side,a,a,about half the time
telephone,box,a,a,never
quarter,inch,an,a,always
coffee,cake,a,a,rarely
picnic,meal,a,a,rarely
ice,tea,,,almost always
baby,spoon,a,a,rarely
yellow,page,a,a,rarely
crystal,cave,a,a,never
light,wood,,,sometimes
green,finger,a,a,about half the time
block,building,a,a,never
baby,doll,a,a,sometimes
elephant,trumpeting,,,almost always
yellow,rain,,,always
yard,clipping,a,a,almost always
back,garden,a,a,always
green,path,a,a,often
red,cutter,a,a,often
snow,ninja,a,a,almost always
nose,guy,a,a,almost always
airplane,ride,a,an,always
fish,jump,a,a,never
green,overalls,,,never
stump,grinder,a,a,about half the time
singing,mama,a,a,always
pink,clothes,,,never
dirty,hand,a,a,sometimes
drum,stick,a,a,sometimes
bear,cave,a,a,sometimes
green,pants,,,rarely
hot,bun,a,a,always
pink,satin,,,sometimes
daddy,ear,an,a,rarely
varnish,paint,,,sometimes
silver,car,a,a,often
giant,puzzle,a,a,rarely
red,pot,a,a,rarely
guy,wizard,a,a,about half the time
red,door,a,a,rarely
picture,frame,a,a,almost always
infant,teacher,a,an,rarely
lizard,mom,a,a,never
lion,dung,,,rarely
orange,nose,a,an,never
puzzle,pile,a,a,always
hot,fire,,,always
iron,sword,a,an,always
gold,map,a,a,always
grandfather,clock,a,a,rarely
whisky,drop,a,a,never
paint,brush,a,a,about half the time
solid,rain,,,sometimes
human,body,a,a,almost always
dead,plant,a,a,always
tea,cup,a,a,about half the time
dirty,blanket,a,a,rarely
chip,machine,a,a,always
leopard,seal,a,a,never
baby,leaf,a,a,often
yellow,circle,a,a,never
food,chain,a,a,sometimes
fire,exit,an,a,never
mutant,peacock,a,a,rarely
red,drum,a,a,about half the time
yellow,parrot,a,a,about half the time
dirty,plate,a,a,almost always
round,track,a,a,always
slippery,sock,a,a,never
baby,dog,a,a,rarely
paw,print,a,a,rarely
red,towel,a,a,about half the time
guy,robot,a,a,often
red,stripe,a,a,almost always
dirty,pants,,,sometimes
red,track,a,a,never
meteor,crater,a,a,rarely
carpet,shop,a,a,almost always
green,candy,,,sometimes
thorn,bush,a,a,sometimes
hand,bag,a,a,never
yellow,line,a,a,always
green,frosting,,,never
square,pan,a,a,almost always
pointy,tree,a,a,sometimes
purple,necklace,a,a,never
cotton,candy,,,never
top,hat,a,a,rarely
potato,plant,a,a,never
color,popsicle,a,a,never
red,hole,a,a,never
wall,clock,a,a,almost always
tea,pot,a,a,often
frog,toy,a,a,never
blooming,herb,a,a,never
bottom,shelf,a,a,about half the time
cup,cake,a,a,about half the time
pink,brush,a,a,rarely
purple,boot,a,a,never
fruit,snack,a,a,about half the time
brown,coffee,,,never
yellow,sleeve,a,a,never
umbrella,handle,a,an,never
purple,tower,a,a,never
hot,cocoa,,,often
animal,cracker,a,an,rarely
broken,bridge,a,a,rarely
kid,scissors,,,never
dog,book,a,a,rarely
furnishings,gift,a,a,about half the time
man,face,a,a,about half the time
light,horse,a,a,about half the time
phone,ring,a,a,never
red,top,a,a,about half the time
kids,block,a,a,always
giant,mess,a,a,almost always
rolling,robot,a,a,often
elephant,eye,an,an,rarely
lounge,window,a,a,never
green,strawberry,a,a,never
oven,door,a,an,sometimes
dirty,girl,a,a,almost always
camera,man,a,a,always
maple,syrup,,,about half the time
pink,dinosaur,a,a,never
traffic,jam,,,never
mail,card,a,a,never
rope,ladder,a,a,never
broken,cracker,a,a,always
wooden,button,a,a,never
flat,edge,an,a,often
kid,toy,a,a,often
milk,man,a,a,sometimes
dancing,troop,a,a,always
sinus,infection,an,a,rarely
back,yard,a,a,always
arm,pit,a,an,always
guy,talking,,,often
day,game,a,a,about half the time
photo,album,an,a,always
outside,guy,a,an,sometimes
spaghetti,meatball,a,a,rarely
kitchen,sink,a,a,often
corner,piece,a,a,always
purple,octagon,an,a,never
diving,board,a,a,always
garden,worm,a,a,sometimes
bright,star,a,a,almost always
patio,door,a,a,rarely
brown,eye,an,a,often
banana,bread,,,rarely
enamel,shell,a,an,never
furry,tummy,a,a,often
solar,eclipse,an,a,sometimes
purple,flower,a,a,rarely
drop,curtain,a,a,never
bull,frog,a,a,rarely
purple,purse,a,a,rarely
video,camera,a,a,sometimes
orange,animal,an,an,never
rag,doll,a,a,never
yellow,sun,,,always
clothes,hamper,a,a,about half the time
cookie,cutter,a,a,almost always
green,bow,a,a,about half the time
plastic,card,a,a,never
giant,shoe,a,a,never
pink,pipe,a,a,never
orange,skittle,a,an,always
head,louse,a,a,always
purple,candy,,,about half the time
orange,square,a,an,never
cooker,gas,,,always
locked,closet,a,a,rarely
red,ant,an,a,often
box,office,an,a,rarely
orange,frog,a,an,sometimes
mop,head,a,a,never
puppy,doggy,a,a,almost always
tool,repair,a,a,about half the time
color,page,a,a,never
hip,bone,a,a,never
red,ladybug,a,a,sometimes
red,wheel,a,a,sometimes
purple,bat,a,a,rarely
cake,shop,a,a,rarely
picture,hook,a,a,never
crusty,roll,a,a,often
bright,tail,a,a,sometimes
daddy,gorilla,a,a,almost always
ladies,toilet,a,a,almost always
gravel,pile,a,a,almost always
dog,stand,a,a,never
clock,piece,a,a,never
yellow,shirt,a,a,rarely
velvety,horse,a,a,never
purple,cabbage,a,a,rarely
dirty,mouth,a,a,never
top,trainer,a,a,often
birth,present,a,a,always
dark,sky,a,a,almost always
coffee,milk,,,always
baby,bounce,a,a,never
scar,scar,a,a,about half the time
battery,drawer,a,a,never
circus,truck,a,a,rarely
room,table,a,a,never
boa,constrictor,a,a,often
car,transporter,a,a,about half the time
bleeding,finger,a,a,rarely
human,head,a,a,almost always
ball,bounce,a,a,always
yellow,light,a,a,rarely
tree,trunk,a,a,always
ball,bearing,,,always
sweat,gland,a,a,often
call,line,a,a,never
bin,liner,a,a,almost always
red,brush,a,a,never
digger,truck,a,a,never
shovel,honey,,,never
cheese,pie,a,a,about half the time
night,spider,a,a,always
store,lady,a,a,often
teddy,bear,a,a,rarely
medication,honey,,,rarely
school,book,a,a,almost always
goldfish,day,a,a,always
toy,boy,a,a,about half the time
pink,girl,a,a,never
people,town,a,a,always
worm,soup,,,never
pink,worm,a,a,always
egg,shell,a,an,about half the time
baby,song,a,a,never
furry,face,a,a,never
brown,mountain,a,a,always
red,coloring,,,never
patio,barbecue,a,a,about half the time
blonde,hair,,,sometimes
top,lid,a,a,never
wooden,reel,a,a,never
iron,leg,a,an,never
baby,crayon,a,a,never
train,line,a,a,about half the time
birth,day,a,a,rarely
doctor,kit,a,a,never
door,key,a,a,often
bus,fare,a,a,about half the time
solid,piece,a,a,always
fish,soup,,,rarely
princess,bed,a,a,rarely
top,edge,an,a,about half the time
turkey,sandwich,a,a,sometimes
timer,switch,a,a,rarely
red,mouse,a,a,never
green,garbage,,,rarely
wet,bird,a,a,never
yellow,pepper,a,a,never
dalmatian,dog,a,a,rarely
red,fence,a,a,never
daddy,pirate,a,a,always
brown,clump,a,a,never
red,airplane,an,a,never
military,police,,,often
red,orange,an,a,rarely
bear,hunt,a,a,always
red,triangle,a,a,never
gas,station,a,a,almost always
pink,flamingo,a,a,almost always
yellow,tree,a,a,rarely
satellite,dish,a,a,always
cigar,smoking,,,rarely
dance,music,,,never
candy,bar,a,a,about half the time
egg,box,a,an,never
sand,box,a,a,never
pet,cage,a,a,never
yellow,coral,,,never
dark,hair,,,rarely
vegetable,oil,,,about half the time
green,picture,a,a,rarely
green,baby,a,a,never
pant,leg,a,a,never
hedge,cutter,a,a,never
beef,hash,a,a,sometimes
plastic,box,a,a,rarely
green,nose,a,a,never
brown,sauce,,,about half the time
yellow,coloring,,,never
hot,lunch,a,a,often
fish,stall,a,a,never
wire,sandwich,a,a,never
bright,color,a,a,about half the time
bathroom,window,a,a,never
hot,ride,a,a,never
tub,seat,a,a,never
draw,picture,a,a,about half the time
water,pipe,a,a,sometimes
safari,hat,a,a,rarely
hot,seat,a,a,never
top,step,a,a,never
spider,ring,a,a,rarely
bottom,corner,a,a,always
cotton,ball,a,a,never
record,button,a,a,rarely
doll,baby,a,a,never
cat,product,a,a,sometimes
rusty,bucket,a,a,rarely
gun,runner,a,a,never
washing,machine,a,a,never
naked,butt,a,a,always
cabbage,leaf,a,a,never
dirty,sock,a,a,about half the time
karate,chop,a,a,almost always
yard,tent,a,a,about half the time
goat,boy,a,a,never
father,duck,a,a,almost always
pink,rattle,a,a,rarely
witch,hair,,,almost always
crane,station,a,a,almost always
toy,store,a,a,rarely
dark,ball,a,a,about half the time
pink,corner,a,a,always
truck,piece,a,a,rarely
red,jumper,a,a,never
pink,dot,a,a,rarely
money,card,a,a,always
teapot,water,,,never
chocolate,cake,a,a,never
person,game,a,a,rarely
sea,urchin,an,a,almost always
red,broccoli,,,never
bus,ticket,a,a,about half the time
rock,pool,a,a,never
red,dragon,a,a,almost always
movie,camera,a,a,rarely
flat,mouth,a,a,never
salmon,leaping,a,a,never
outside,person,a,an,about half the time
tin,tray,a,a,never
hand,glove,a,a,about half the time
scout,group,a,a,often
guy,beard,a,a,never
silver,beard,a,a,never
smoke,stack,a,a,always
rain,glasses,,,never
zucchini,plant,a,a,rarely
purple,bud,a,a,never
cash,till,a,a,almost always
pink,dragon,a,a,never
girl,case,a,a,never
orange,cutter,a,an,never
kitchen,door,a,a,about half the time
pear,skin,,,never
dirty,hamper,a,a,about half the time
orange,sunset,a,an,about half the time
hot,wood,,,never
dirty,penny,a,a,almost always
dirty,cup,a,a,sometimes
apple,oatmeal,,,rarely
olive,green,,,about half the time
pear,juice,,,always
water,spout,a,a,never
bacon,crisp,a,a,never
knife,edge,an,a,rarely
green,crunch,a,a,never
doggy,bone,a,a,about half the time
yellow,eye,an,a,rarely
yellow,apple,an,a,almost always
farm,channel,a,a,almost always
boy,seat,a,a,sometimes
machine,chap,a,a,rarely
eye,ball,a,an,rarely
thick,branch,a,a,rarely
sunny,path,a,a,often
back,step,a,a,almost always
brown,tail,a,a,sometimes
gravel,border,a,a,almost always
pink,tights,,,never
store,room,a,a,never
frog,outfit,an,a,never
yellow,hay,,,almost always
red,strawberry,a,a,always
dead,turtle,a,a,about half the time
inch,square,a,an,always
shell,suit,a,a,never
honey,doll,a,a,never
ceiling,rose,a,a,rarely
baby,meat,,,never
flat,surface,a,a,rarely
fat,head,a,a,always
circus,officer,an,a,sometimes
sweet,baby,a,a,never
purple,grape,a,a,sometimes
pencil,eraser,an,a,sometimes
tie,back,a,a,never
massage,table,a,a,almost always
orange,leaf,a,an,rarely
sand,sheep,a,a,never
red,side,a,a,rarely
red,caboose,a,a,often
pink,window,a,a,never
sweet,pea,a,a,never
orange,angelfish,an,an,rarely
cork,tile,a,a,never
bleeding,head,a,a,rarely
brown,fur,,,about half the time
mommy,elephant,an,a,almost always
daddy,glasses,,,often
round,tree,a,a,always
red,bear,a,a,never
laundry,basket,a,a,always
egg,white,,,almost always
peacock,body,a,a,never
green,plant,a,a,almost always
dead,worm,a,a,never
dog,food,,,sometimes
wine,sherry,,,never
swimming,guy,a,a,about half the time
sign,gate,a,a,never
animal,magazine,a,an,never
furry,fuzzy,a,a,almost always
dinosaur,hunt,a,a,almost always
food,shopping,,,often
draw,bridge,a,a,rarely
bath,door,a,a,never
triangle,piece,a,a,always
baby,brother,a,a,often
purple,boxcar,a,a,never
broken,arm,an,a,rarely
sickle,cell,a,a,never
snow,boot,a,a,never
orange,heart,a,an,almost always
hot,chicken,a,a,never
ash,tray,a,an,sometimes
radio,cassette,a,a,about half the time
gold,reindeer,a,a,never
unbuttoned,jacket,a,an,almost always
cigar,box,a,a,rarely
frozen,water,,,sometimes
red,fruit,a,a,sometimes
yellow,drum,a,a,never
lighter,hair,,,rarely
mashed,potato,a,a,always
oat,porridge,,,always
festival,company,a,a,never
flat,piece,a,a,never
college,downtown,a,a,about half the time
pony,tail,a,a,never
giant,thorn,a,a,never
sunny,spot,a,a,almost always
orange,pants,,,rarely
vanilla,chocolate,,,never
cheese,pizza,,,often
circus,animal,an,a,rarely
plastic,circle,a,a,never
chicken,dance,a,a,never
chicken,finger,a,a,never
green,piece,a,a,never
green,salad,a,a,never
brown,grey,,,always
tea,bag,a,a,never
top,floor,a,a,never
dinosaur,movie,a,a,rarely
pink,lollypop,a,a,about half the time
fish,food,,,always
night,shirt,a,a,rarely
puppy,mom,a,a,never
purple,sand,,,never
yellow,train,a,a,rarely
pepperoni,pizza,,,sometimes
yellow,leaf,a,a,rarely
mommy,deer,a,a,often
ear,plug,a,an,never
bird,box,a,a,rarely
back,bedroom,a,a,about half the time
food,pea,a,a,almost always
adult,alligator,an,an,often
broken,foot,a,a,rarely
soccer,player,a,a,often
garbage,feast,a,a,never
red,cake,a,a,never
wet,soaking,a,a,always
bear,boob,a,a,always
dam,bush,a,a,almost always
dead,guy,a,a,always
face,pumpkin,a,a,always
primrose,oil,,,rarely
top,bunk,a,a,almost always
red,popsicle,a,a,about half the time
daddy,tape,a,a,always
land,horse,a,a,almost always
dog,collar,a,a,always
turtle,tank,a,a,almost always
yellow,key,a,a,never
night,light,a,a,sometimes
book,honey,,,about half the time
top,gear,a,a,always
pink,bird,a,a,never
alloy,wheel,a,an,rarely
brown,leaf,a,a,never
test,barometer,a,a,almost always
baby,book,a,a,rarely
plum,pudding,,,sometimes
press,record,a,a,rarely
green,apple,an,a,sometimes
workshop,downtown,a,a,often
boy,voice,a,a,about half the time
dirty,fox,a,a,almost always
property,market,a,a,about half the time
washing,powder,,,rarely
block,cheese,,,always
pink,tube,a,a,always
train,fare,a,a,often
dead,obituary,an,a,always
snow,man,a,a,always
farmer,overalls,,,about half the time
roast,beef,,,almost always
ironing,board,a,an,never
broken,string,a,a,never
wine,glasses,,,often
birth,date,a,a,about half the time
bottom,one,a,a,always
spider,monkey,a,a,never
farm,puppet,a,a,rarely
wash,room,a,a,rarely
red,ball,a,a,sometimes
dust,wagon,a,a,rarely
gold,fish,a,a,rarely
burnt,finger,a,a,rarely
horse,box,a,a,never
mummy,shout,a,a,often
velcro,latch,a,a,never
curb,stone,a,a,sometimes
batter,box,a,a,rarely
trash,call,a,a,sometimes
brown,patch,a,a,never
dust,ball,a,a,never
toy,bus,a,a,never
ginger,man,a,a,rarely
wood,sculpture,a,a,rarely
red,bug,a,a,rarely
baby,chair,a,a,never
brick,fireplace,a,a,almost always
candy,piece,a,a,never
turkey,leg,a,a,rarely
red,bucket,a,a,rarely
pencil,box,a,a,never
fat,fryer,a,a,almost always
band,man,a,a,about half the time
spray,bottle,a,a,rarely
unbuttoned,pants,,,never
dirty,mama,a,a,sometimes
hot,curry,a,a,often
red,piranha,a,a,never
bear,family,a,a,never
daddy,face,a,a,never
yogurt,pudding,,,rarely
diaper,check,a,a,never
mud,truck,a,a,rarely
fish,shop,a,a,almost always
mountain,bike,a,a,often
exit,sign,a,an,rarely
purple,food,,,never
baby,cub,a,a,always
food,restaurant,a,a,almost always
bath,tub,a,a,about half the time
baseball,game,a,a,never
treasure,chest,a,a,never
red,bird,a,a,sometimes
sweet,gift,a,a,sometimes
yellow,piece,a,a,often
dirty,piggy,a,a,always
hot,soup,,,often
yellow,flower,a,a,about half the time
plastic,heron,a,a,never
dark,bikini,a,a,rarely
garbage,collector,a,a,rarely
hot,flaming,,,never
light,hair,,,about half the time
back,corner,a,a,never
green,stripe,a,a,always
slippery,ice,,,almost always
fat,boy,a,a,never
taller,bed,a,a,often
color,paper,a,a,never
bubble,container,a,a,never
tan,wig,a,a,always
red,gecko,a,a,rarely
red,puppy,a,a,rarely
brown,ant,an,a,almost always
sweet,onion,an,a,sometimes
baby,worm,a,a,never
water,swim,a,a,almost always
fat,worm,a,a,never
intercom,beep,a,an,always
alarm,clock,a,an,never
color,paint,,,never
cotton,shirt,a,a,almost always
hot,tot,a,a,always
cauliflower,pea,a,a,never
hot,wash,a,a,almost always
ostrich,egg,an,an,never
silver,green,,,never
board,tile,a,a,never
pink,violet,a,a,never
dirty,nose,a,a,often
ant,path,a,an,never
pumpkin,head,a,a,always
quarter,teaspoon,a,a,never
bright,paper,a,a,almost always
heart,beat,a,a,never
red,road,a,a,sometimes
hot,onion,an,a,about half the time
orange,bead,a,an,always
shaking,ball,a,a,never
orange,dinosaur,a,an,rarely
daddy,bird,a,a,always
green,marker,a,a,always
daddy,rooster,a,a,almost always
kitchen,table,a,a,often
mackerel,fishing,,,about half the time
green,pig,a,a,never
top,tap,a,a,never
pumpkin,farm,a,a,rarely
orange,tummy,a,an,rarely
red,button,a,a,rarely
yellow,bowl,a,a,rarely
bottom,oven,an,a,always
blowing,wind,,,always
tiger,picture,a,a,almost always
street,sweeper,a,a,almost always
entrance,door,a,an,almost always
water,table,a,a,never
rocket,shot,a,a,sometimes
beef,sandwich,a,a,sometimes
detective,show,a,a,rarely
pumpkin,pie,a,a,rarely
green,moose,a,a,never
orange,cat,a,an,often
yellow,tongue,a,a,never
purple,top,a,a,never
salmon,salad,a,a,rarely
purple,captain,a,a,never
bright,pink,,,almost always
clown,hair,,,rarely
report,card,a,a,about half the time
rainy,day,a,a,often
airline,pilot,a,an,often
school,boy,a,a,often
dragon,game,a,a,rarely
football,match,a,a,almost always
green,wreath,a,a,often
molasses,swamp,a,a,rarely
pink,rose,a,a,never
home,daddy,a,a,never
cutting,edge,an,a,always
purple,eye,an,a,never
green,kitty,a,a,never
rail,ticket,a,a,never
hay,cart,a,a,about half the time
wooden,platter,a,a,rarely
round,spot,a,a,always
garden,furniture,,,sometimes
bar,bell,a,a,always
worm,belly,a,a,always
pastel,pink,,,sometimes
prawn,sandwich,a,a,never
cabbage,plant,a,a,always
clock,tower,a,a,almost always
sleeping,policeman,a,a,always
thick,player,a,a,about half the time
dog,beach,a,a,rarely
fish,cracker,a,a,rarely
outside,tap,a,an,sometimes
bubble,gum,a,a,almost always
letter,tile,a,a,almost always
purple,spaghetti,,,never
farmer,guy,a,a,almost always
cut,grass,,,always
croquet,stroke,a,a,never
hay,cookie,a,a,always
green,ornament,an,a,sometimes
water,tower,a,a,always
plant,pot,a,a,never
fat,roll,a,a,rarely
brown,coconut,a,a,always
purple,shoe,a,a,rarely
giant,boy,a,a,rarely
green,pepper,a,a,about half the time
purple,tail,a,a,always
ogre,lady,a,an,never
bow,colors,a,a,never
cross,bun,a,a,never
red,punch,a,a,rarely
pink,heart,a,a,often
cat,scratching,,,almost always
peppermint,candy,,,never
dirty,baby,a,a,almost always
brown,mud,,,always
food,board,a,a,rarely
slot,machine,a,a,never
yellow,door,a,a,rarely
dirty,diaper,a,a,never
roast,potato,a,a,always
red,handle,a,a,never
water,drip,a,a,always
puppet,show,a,a,sometimes
yellow,bucket,a,a,rarely
yellow,banana,a,a,often
pink,tutu,a,a,always
solar,battery,a,a,almost always
ice,cream,,,rarely
sugar,dough,,,never
barbecue,recipe,a,a,always
orange,flag,a,an,rarely
bunny,sleep,,,sometimes
box,toy,a,a,about half the time
dirt,road,a,a,almost always
orange,dot,a,an,always
tape,player,a,a,always
broken,egg,an,a,often
daddy,foot,a,a,always
mommy,chin,a,a,often
green,coat,a,a,rarely
night,moon,a,a,always
brown,suite,a,a,never
giant,committee,a,a,never
sweet,honey,,,always
school,room,a,a,about half the time
giant,skyscraper,a,a,never
trash,book,a,a,never
top,row,a,a,always
pink,coat,a,a,rarely
mud,pile,a,a,never
mommy,worm,a,a,never
farm,cat,a,a,never
crayon,pile,a,a,never
green,melon,a,a,often
aloe,plant,a,an,never
icy,coast,a,an,always
refrigerator,door,a,a,about half the time
baby,pig,a,a,rarely
fire,grate,a,a,never
yellow,flag,a,a,almost always
baby,wipe,a,a,about half the time
engine,train,a,an,always
fuzzy,peach,a,a,almost always
dirty,straw,a,a,rarely
bleach,water,,,rarely
fishing,pole,a,a,never
snow,shovel,a,a,sometimes
oven,top,a,an,almost always
yellow,reindeer,a,a,never
red,man,a,a,never
girl,doctor,a,a,often
fat,doctor,a,a,rarely
brain,rot,,,never
red,hand,a,a,about half the time
fat,face,a,a,about half the time
knee,joint,a,a,sometimes
food,processor,a,a,often
committee,report,a,a,sometimes
dirty,one,a,a,never
green,hoop,a,a,almost always
wet,washing,,,often
top,oven,an,a,never
strawberry,juice,,,sometimes
cheddar,cracker,a,a,never
slipper,sock,a,a,almost always
capital,letter,a,a,rarely
ground,almond,an,a,rarely
vanilla,pudding,,,often
shower,tray,a,a,never
tracksuit,bottom,a,a,almost always
dirty,park,a,a,sometimes
green,door,a,a,never
sweet,boy,a,a,always
red,reindeer,a,a,never
red,train,a,a,never
broken,leg,a,a,rarely
brown,gravy,,,never
smoke,salmon,,,sometimes
cigarette,carton,a,a,always
brass,drum,a,a,about half the time
baby,booty,a,a,rarely
dirty,shirt,a,a,sometimes
purple,triangle,a,a,never
bright,moonlight,,,sometimes
icecream,scoop,a,an,sometimes
sliced,cheese,,,often
sweet,cocoa,,,almost always
van,window,a,a,never
bunny,clothes,,,often
orange,tail,a,an,always
bead,string,a,a,never
mirror,piece,a,a,never
yellow,guy,a,a,never
food,bowl,a,a,always
red,foot,a,a,never
bird,nest,a,a,almost always
color,clothes,,,always
elephant,puzzle,a,an,never
window,frame,a,a,sometimes
pink,snail,a,a,rarely
blind,mom,a,a,never
teddy,workshop,a,a,never
rabbit,stew,a,a,sometimes
purple,horn,a,a,never
puzzle,book,a,a,often
farm,animal,an,a,never
tiger,baby,a,a,never
wet,whisker,a,a,never
tube,company,a,a,never
steel,worker,a,a,rarely
yellow,brush,a,a,rarely
orange,leg,a,an,never
green,spider,a,a,never
jump,rope,a,a,about half the time
bright,beak,a,a,never
brown,path,a,a,almost always
naked,person,a,a,rarely
furry,bear,a,a,almost always
green,cactus,a,a,almost always
soldier,crab,a,a,never
purple,turtle,a,a,never
plastic,metal,,,never
juicy,meat,a,a,sometimes
yellow,rake,a,a,rarely
pink,pig,a,a,always
mama,elephant,an,a,sometimes
baby,sock,a,a,never
green,shell,a,a,about half the time
room,clock,a,a,never
fish,skeleton,a,a,never
mutton,head,a,a,never
strawberry,color,a,a,never
chicken,coop,a,a,never
curtain,ring,a,a,never
manor,ground,,,never
hill,riding,,,sometimes
paddle,wheel,a,a,always
country,mouse,a,a,never
purple,saber,a,a,never
red,kite,a,a,often
baby,monkey,a,a,sometimes
rubber,book,a,a,never
sun,block,a,a,never
mantel,fire,,,about half the time
porcelain,doll,a,a,never
cut,dude,a,a,never
quarter,moon,a,a,often
pink,pickle,a,a,never
silver,packet,a,a,never
bear,cub,a,a,sometimes
broken,tv,a,a,sometimes
poison,apple,an,a,rarely
stroller,baby,a,a,always
solid,path,a,a,almost always
top,penthouse,a,a,about half the time
red,planet,a,a,almost always
cookie,day,a,a,never
noodle,soup,,,always
television,actress,an,a,never
solid,line,a,a,always
baby,raccoon,a,a,rarely
frame,chip,a,a,never
bright,punch,a,a,about half the time
yellow,saddle,a,a,never
mommy,doggie,a,a,about half the time
cinnamon,roll,a,a,never
foot,ball,a,a,almost always
puzzle,maker,a,a,sometimes
purple,teddy,a,a,never
room,slipper,a,a,often
wood,cylinder,a,a,never
pink,scooter,a,a,rarely
manual,gear,a,a,about half the time
concrete,floor,a,a,often
yellow,mouth,a,a,never
plant,debris,,,sometimes
shield,brooch,a,a,never
outside,soccer,,,never
upstairs,sleeping,,,always
ladybug,toy,a,a,never
tonic,glass,a,a,never
fish,pie,a,a,never
purple,bug,a,a,never
red,jacket,a,a,rarely
flower,piece,a,a,never
tissue,paper,a,a,never
city,mouse,a,a,sometimes
dark,shadow,a,a,often
green,toy,a,a,never
wet,bucket,a,a,almost always
sister,game,a,a,sometimes
bottom,hair,,,almost always
frog,book,a,a,always
juicy,worm,a,a,never
diving,dummy,a,a,never
purple,flag,a,a,never
snow,tiger,a,a,never
dark,tunnel,a,a,almost always
umbrella,tree,a,an,rarely
fuzzy,bone,a,a,never
glass,slipper,a,a,never
dinosaur,hunter,a,a,never
shop,book,a,a,often
sister,church,a,a,never
color,block,a,a,sometimes
baby,person,a,a,almost always
dark,chap,a,a,almost always
green,bone,a,a,about half the time
ocean,world,a,an,rarely
wet,man,a,a,rarely
purple,guy,a,a,always
broken,pen,a,a,never
solid,hedge,a,a,almost always
green,bag,a,a,never
fish,hook,a,a,almost always
yellow,glasses,,,never
sea,horse,a,a,never
wooden,table,a,a,always
yellow,sheet,a,a,never
jet,engine,an,a,never
night,star,a,a,never
color,grey,,,always
country,lane,a,a,never
orange,rock,a,an,never
bank,account,an,a,almost always
train,table,a,a,rarely
dead,dad,a,a,always
group,secretary,a,a,about half the time
basket,game,a,a,almost always
yellow,girl,a,a,never
mucus,sack,a,a,never
dirty,tank,a,a,almost always
brown,bag,a,a,often
marble,hearth,a,a,rarely
box,cooler,a,a,never
movie,puppet,a,a,rarely
cigarette,smoke,,,often
dinosaur,leg,a,a,never
green,glove,a,a,rarely
baby,nose,a,a,always
dead,battery,a,a,sometimes
car,mat,a,a,almost always
dead,ant,an,a,always
lemon,chicken,a,a,almost always
giant,bomb,a,a,never
round,cracker,a,a,sometimes
brown,person,a,a,often
library,ticket,a,a,rarely
lobster,pot,a,a,rarely
brown,writing,,,never
round,scissors,,,never
red,tape,a,a,never
bunny,ear,an,a,never
baby,rabbit,a,a,often
school,report,a,a,often
red,puck,a,a,about half the time
green,uniform,a,a,never
top,line,a,a,always
wax,coat,a,a,rarely
rocky,truck,a,a,almost always
yellow,hand,a,a,never
giant,caterpillar,a,a,never
brown,belt,a,a,almost always
baby,giraffe,a,a,sometimes
animal,puzzle,a,an,never
plant,food,,,always
gym,teacher,a,a,rarely
pink,boot,a,a,never
bike,riding,,,often
bath,toy,a,a,never
money,broker,a,a,often
round,mark,a,a,never
knuckle,head,a,a,rarely
crusty,loaf,a,a,rarely
video,store,a,a,rarely
toilet,seat,a,a,rarely
sweet,girl,a,a,never
toe,soup,,,always
icy,drink,a,an,always
tooth,brush,a,a,about half the time
diamond,piece,a,a,rarely
dirty,key,a,a,rarely
purple,cocoon,a,a,rarely
princess,sticker,a,a,sometimes
purple,coat,a,a,never
gum,tree,a,a,often
top,prize,a,a,rarely
lunch,break,a,a,never
giant,cloud,a,a,always
planet,earth,,,often
fire,hose,a,a,almost always
fat,chap,a,a,about half the time
mother,pig,a,a,sometimes
red,pants,,,almost always
purple,button,a,a,rarely
baby,gorilla,a,a,sometimes
sleeping,dolphin,a,a,never
solid,bronze,,,always
scrap,paper,a,a,never
girl,bike,a,a,never
bean,plant,a,a,about half the time
purple,wing,a,a,never
sweet,heart,a,a,always
farmer,market,a,a,about half the time
dirty,truck,a,a,almost always
brown,marker,a,a,never
painting,shirt,a,a,never
