adjective,noun,article,adj_article,gpt3_judgment
animal,picture,a,an,Often
pond,deer,a,a,Rarely
children,slip,a,a,Almost always
dark,pink,,,Often
army,man,a,an,Often
bean,bag,a,a,Sometimes
dirty,mouse,a,a,Rarely
sweatshirt,top,a,a,Sometimes
tuna,fish,a,a,Almost always
night,sign,a,a,Rarely
burger,bar,a,a,Often
penguin,body,a,a,Never
cream,chocolate,,,Often
dolphin,show,a,a,Sometimes
hot,wax,,,Rarely
wet,spot,a,a,Often
furry,gorilla,a,a,Almost always
stuffed,puppy,a,a,Never
scout,badge,a,a,Sometimes
blowing,kiss,a,a,Sometimes
dead,leaf,a,a,Rarely
thick,noodle,a,a,Sometimes
bubble,blower,a,a,Rarely
purple,bird,a,a,Rarely
brown,tree,a,a,Often
fire,station,a,a,Almost always
mama,rabbit,a,a,Often
square,box,a,a,Almost always
garbage,truck,a,a,Often
red,oval,an,a,Sometimes.
bank,manager,a,a,Sometimes
top,lip,a,a,Almost always
red,butterfly,a,a,Sometimes
farm,book,a,a,Sometimes
welding,rod,a,a,Sometimes
nylon,bag,a,a,Often
purple,ear,an,a,Never
ballet,slipper,a,a,Rarely.
ball,mitt,a,a,Often
boy,mouth,a,a,Never
sycamore,tree,a,a,Rarely
wet,shirt,a,a,Sometimes
roll,marble,a,a,Never
giant,ball,a,a,Rarely
purple,cow,a,a,Never
poison,rattlesnake,a,a,Almost always
color,green,,,Always
cupboard,door,a,a,Rarely
brown,piece,a,a,Sometimes
singing,contest,a,a,Sometimes
yellow,head,a,a,Rarely.
furry,teddy,a,a,Almost always
dirty,corner,a,a,Rarely
dish,wash,a,a,Almost always
bright,crayon,a,a,Often
concrete,path,a,a,Sometimes
green,block,a,a,Sometimes
wet,panty,a,a,Never
railroad,track,a,a,Almost always.
ninja,turtle,a,a,Never
green,bed,a,a,Rarely
heart,muscle,a,a,Always
purple,salad,a,a,Rarely
foot,piece,a,a,Never
baby,jogger,a,a,Rarely
street,car,a,a,Often
hall,closet,a,a,Sometimes
yellow,chair,a,a,Sometimes.
furry,costume,a,a,Sometimes
soap,bottle,a,a,Often
grey,shorts,,,Sometimes
mommy,bear,a,a,Often
blind,spot,a,a,Rarely
purple,kangaroo,a,a,Never
house,beam,a,a,Almost always
castle,book,a,a,Rarely.
rectangle,book,a,a,Never
sand,block,a,a,Almost always.
cement,truck,a,a,Rarely
grey,cat,a,a,Often
oven,mitt,a,an,Often
fruit,shop,a,a,Often
muscle,man,a,a,Rarely
giant,gorilla,a,a,Rarely
shadow,line,a,a,Rarely
strawberry,patch,a,a,Rarely.
movie,theater,a,a,Almost always.
cat,litter,,,Almost always
snow,melt,a,a,Almost always
dark,light,a,a,Never
elephant,book,a,an,Rarely
yellow,cartridge,a,a,Rarely
food,card,a,a,Rarely
round,hoop,a,a,Almost always
pink,sand,,,Rarely
yellow,box,a,a,Sometimes
light,beam,a,a,Almost Always
fish,sticker,a,a,Often
baby,alarm,an,a,Rarely
foot,radiator,a,a,Rarely
foot,pruner,a,a,Almost always
raspberry,patch,a,a,Rarely
pine,tree,a,a,Almost always
purple,cap,a,a,Rarely
block,house,a,a,Sometimes
ant,trap,a,an,Rarely
orange,drop,a,an,Rarely
wooden,track,a,a,Rarely.
petrol,tank,a,a,Never
caramel,cluster,a,a,Rarely
shrub,border,a,a,Sometimes
pointy,tip,a,a,Often
car,park,a,a,Never
aphid,sandwich,a,an,Never
yellow,neon,,,Almost always
bubble,world,a,a,Rarely.
yellow,horse,a,a,Rarely
ostrich,leg,a,an,Never
coffee,grinder,a,a,Often
skunk,stew,a,a,Never
red,bat,a,a,Rarely
video,recorder,a,a,Never
wet,mommy,a,a,Rarely
pita,bread,,,Sometimes
striped,worm,a,a,Rarely
bum,worker,a,a,Never
hot,day,a,a,Often
silk,worm,a,a,Rarely
fish,market,a,a,Sometimes
water,bridge,a,a,Rarely
purple,fish,a,a,Rarely
lace,cover,a,a,Rarely
sugar,water,,,Never
flat,mat,a,a,Almost always
wife,battering,a,a,Almost always
slippery,soap,,,Often
paper,airplane,an,a,Never
olive,oil,,,Almost always
sweet,sauce,,,Often
blind,eye,an,a,Rarely
people,zombie,a,a,Never
bedroom,room,a,a,Almost always
soy,sauce,,,Often
sea,mammal,a,a,Often
silky,ear,an,a,Never
church,minister,a,a,Almost always.
red,paper,a,a,Rarely
dirty,laundry,,,Often
bubble,blow,a,a,Rarely
wooden,sword,a,a,Rarely.
flat,land,,,Sometimes
pink,ring,a,a,Sometimes
boy,pants,,,Often
popcorn,maker,a,a,Often
dress,clothes,,,Sometimes
school,bus,a,a,Often
fat,baby,a,a,Rarely
furniture,shop,a,a,Often
pull,toy,a,a,Sometimes
brown,squirrel,a,a,Almost always
farm,truck,a,a,Sometimes
curry,rice,,,Sometimes
vanilla,cookie,a,a,Often
red,block,a,a,Almost always.
round,ball,a,a,Always
green,chest,a,a,Rarely
people,group,a,a,Always
train,yard,a,a,Never
aquarium,car,a,an,Never
mural,show,a,a,Rarely
daddy,kiss,a,a,Sometimes
squid,soda,,,Never
red,wing,a,a,Rarely
food,group,a,a,Almost Always
thick,head,a,a,Rarely.
sweet,pepper,a,a,Often
yellow,collar,a,a,Rarely
yellow,chick,a,a,Often
striped,fish,a,a,Often
wooden,spoon,a,a,Often
red,boot,a,a,Sometimes
green,money,,,Never
fuzzy,tail,a,a,Often
purple,color,a,a,Almost always.
fold,blanket,a,a,Often
yellow,bib,a,a,Rarely
upstairs,cafe,a,an,Rarely
game,mommy,a,a,Often
witch,castle,a,a,Rarely
dead,horse,a,a,Never
train,piece,a,a,Almost always.
stroke,room,a,a,Never
red,circle,a,a,Often
thick,marmalade,,,Often
rainbow,crayon,a,a,Rarely
princess,puzzle,a,a,Rarely
purple,pentagon,a,a,Rarely
flying,horse,a,a,Never
orange,planet,a,an,Rarely
glass,house,a,a,Rarely
brown,dot,a,a,Sometimes
screw,driver,a,a,Never
wet,snow,,,Often
solid,door,a,a,Almost always
yellow,dinosaur,a,a,Rarely.
giant,piece,a,a,Never
purple,scribble,a,a,Rarely
lego,girl,a,a,Rarely
grey,cloud,a,a,Sometimes
dark,pet,a,a,Sometimes
daddy,elephant,an,a,Almost always
dirty,pamper,a,a,Never
town,clerk,a,a,Often
freeze,pop,a,a,Often
naked,baby,a,a,Almost always
wet,glue,,,Often
farm,dog,a,a,Often
alphabet,toy,a,an,Often
toast,stick,a,a,Never
lace,curtain,a,a,Rarely
meat,pie,a,a,Rarely
lily,pad,a,a,Rarely
blond,girl,a,a,Often
dairy,barn,a,a,Sometimes
green,casing,a,a,Rarely
dead,man,a,a,Never
red,pickle,a,a,Rarely
baby,cot,a,a,Almost Always
yoyo,ball,a,a,Rarely
fish,animal,an,a,Almost always
elephant,leg,a,an,Never
table,tennis,,,Never
skunk,baby,a,a,Never
water,tank,a,a,Almost always
ant,powder,,,Rarely
brass,plate,a,a,Rarely
yellow,tape,a,a,Rarely
head,stand,a,a,Rarely.
purple,heart,a,a,Never
tv,retailer,a,a,Sometimes
purple,dress,a,a,Often
broom,sweep,a,a,Often
staff,entertainment,,,Sometimes
car,stair,a,a,Never
floor,face,a,a,Never
bright,man,a,a,Often
dress,ring,a,a,Sometimes
bowl,bud,a,a,Rarely
green,mouth,a,a,Never
strawberry,cream,,,Rarely
dog,house,a,a,Never
laughing,baby,a,a,Often
mirror,tile,a,a,Rarely
freezing,plant,a,a,Never
worm,food,,,Rarely
bubble,maker,a,a,Rarely
bubble,soup,,,Rarely
dog,park,a,a,Often
fairy,baby,a,a,Never
pink,ball,a,a,Rarely
classroom,window,a,a,Sometimes
purple,snake,a,a,Rarely
mud,line,a,a,Rarely
office,group,a,an,Sometimes
glass,cover,a,a,Rarely
pet,food,,,Never
frog,house,a,a,Never
mouse,driver,a,a,Never
wet,filter,a,a,Often
flip,top,a,a,Sometimes
red,sand,,,Sometimes
hot,room,a,a,Often
purple,soda,,,Rarely
toy,ship,a,a,Rarely
daddy,book,a,a,Rarely
game,contestant,a,a,Often
red,bunny,a,a,Rarely
ear,phone,a,an,Never
dinosaur,sticker,a,a,Sometimes
green,train,a,a,Rarely.
dirty,honey,,,Rarely
shoe,horn,a,a,Rarely
bunny,cloud,a,a,Never
red,cherry,a,a,Almost Always
candy,bag,a,a,Sometimes
green,pop,a,a,Sometimes
dog,cheese,,,Never
yellow,dot,a,a,Sometimes
cough,medicine,,,Often
hot,potato,a,a,Never
ball,game,a,a,Sometimes
mail,person,a,a,Often
green,paddle,a,a,Rarely
candy,gumball,a,a,Almost always
boy,bear,a,a,Never
hind,foot,a,a,Almost always
yellow,fish,a,a,Sometimes
wet,rag,a,a,Often
pink,pillow,a,a,Sometimes
red,car,a,a,Often
orange,hippo,a,an,Never
brother,tiger,a,a,Never
water,toy,a,a,Sometimes
green,eye,an,a,Sometimes
pink,orange,an,a,Never
fly,soup,,,Never
puppet,house,a,a,Never
night,bear,a,a,Rarely
inch,wire,a,an,Never
bread,pasta,,,Sometimes
karate,girl,a,a,Sometimes
nursery,school,a,a,Often
red,jeep,a,a,Often
pink,tulip,a,a,Often
beach,ball,a,a,Often
dark,suit,a,a,Often
orange,arm,an,an,Never
stick,bug,a,a,Often
kitchen,water,,,Often
ground,rice,,,Almost always
carpet,tile,a,a,Rarely
mommy,room,a,a,Rarely
brown,paper,a,a,Rarely
bunny,blanket,a,a,Rarely
grey,shoe,a,a,Sometimes
moon,beam,a,a,Rarely
red,match,a,a,Almost always.
hot,pan,a,a,Often
top,shop,a,a,Sometimes
pill,pen,a,a,Rarely
pink,purple,,,Almost always
peg,leg,a,a,Rarely
frozen,chicken,a,a,Rarely.
outside,hallway,a,an,Rarely
doctor,visit,a,a,Sometimes
singing,mommy,a,a,Sometimes
pretzel,stick,a,a,Rarely
toy,bin,a,a,Rarely
engine,shed,a,an,Rarely
princess,cake,a,a,Sometimes
trigger,fish,a,a,Sometimes
kids,day,a,a,Never
hot,cup,a,a,Sometimes
plastic,table,a,a,Rarely
log,book,a,a,Rarely
fish,tank,a,a,Almost always
poison,stem,a,a,Rarely
chief,accountant,an,a,Almost always
bear,mitten,a,a,Often
forty,pound,a,a,Always
bean,dish,a,a,Sometimes
dirty,cloth,a,a,Rarely.
green,bean,a,a,Often
baby,bear,a,a,Often
wet,foot,a,a,Almost always
diamond,button,a,a,Rarely
letter,box,a,a,Often
swim,shoe,a,a,Never
bird,girl,a,a,Rarely
battery,game,a,a,Sometimes
mermaid,hole,a,a,Never
dragon,guy,a,a,Never
top,hit,a,a,Often
round,circle,a,a,Always
brown,cookie,a,a,Almost always
fuzzy,ear,an,a,Never
broken,toe,a,a,Rarely
fire,man,a,a,Often
orange,monkey,a,an,Rarely.
noodle,worm,a,a,Never
silver,line,a,a,Rarely
mommy,chair,a,a,Never
red,spot,a,a,Sometimes.
dolly,dress,a,a,Sometimes
hummus,bread,,,Rarely
red,fish,a,a,Rarely
apple,barrel,a,an,Never
plastic,tunnel,a,a,Never
red,lid,a,a,Rarely.
cardboard,cylinder,a,a,Rarely
green,fire,,,Never
green,circle,a,a,Sometimes
yellow,lid,a,a,Rarely
chalk,duster,a,a,Rarely
sweet,bread,,,Rarely
green,cap,a,a,Sometimes
meadow,walk,a,a,Often
baby,moon,a,a,Never
hound,letter,a,a,Never
pony,piece,a,a,Rarely
water,man,a,a,Rarely
hot,syrup,,,Never
frozen,pea,a,a,Never
shelve,divider,a,a,Often
key,ring,a,a,Often
baby,buggy,a,a,Rarely
people,rug,a,a,Rarely
bottom,picture,a,a,Rarely
bathroom,room,a,a,Almost always.
pink,sword,a,a,Rarely
pink,bottom,a,a,Sometimes
top,refrigerator,a,a,Almost always
table,honey,,,Almost Always
dark,bath,a,a,Rarely
tooth,book,a,a,Never
daddy,chair,a,a,Never
leg,room,a,a,Never
oat,meal,a,an,Often
trash,block,a,a,Rarely
bright,red,,,Almost always
potty,chair,a,a,Never
dirty,bubble,a,a,Rarely.
violin,teacher,a,a,Sometimes
purple,suit,a,a,Rarely
cutting,board,a,a,Often
cathedral,choir,a,a,Often
yellow,plane,a,a,Rarely
astronaut,costume,a,an,Sometimes
door,handle,a,a,Almost always.
pink,block,a,a,Rarely
bottom,dollar,a,a,Never
pink,tunnel,a,a,Never
green,knife,a,a,Rarely
telephone,call,a,a,Almost Always
orange,shirt,a,an,Sometimes
tartar,taste,a,a,Sometimes
bible,school,a,a,Rarely
baby,mama,a,a,Rarely
green,noodle,a,a,Rarely
machinery,catalogue,a,a,Sometimes
chicken,noodle,a,a,Often
top,shelf,a,a,Almost always
plastic,wallet,a,a,Often
square,yard,a,a,Almost always
metal,piece,a,a,Often
mommy,tiger,a,a,Often
yellow,picture,a,a,Rarely
computer,person,a,a,Sometimes
guy,knight,a,a,Almost always.
brake,fluid,,,Almost always
purple,ketchup,,,Never
wall,tile,a,a,Often
sister,fight,a,a,Rarely.
coffee,bean,a,a,Rarely
dinosaur,head,a,a,Never
solid,block,a,a,Almost always
purple,pad,a,a,Rarely
hot,balloon,a,a,Never
toy,puppy,a,a,Often
orange,bag,a,an,Sometimes
green,scissor,a,a,Rarely
red,cheek,a,a,Sometimes
round,tower,a,a,Rarely
plastic,glasses,,,Often
banana,apple,an,a,Never
suite,shower,a,a,Sometimes
granddad,kiss,a,a,Rarely
broken,bat,a,a,Never
brick,house,a,a,Often
plastic,container,a,a,Often
peanut,butter,,,Never
yellow,curtain,a,a,Sometimes
car,track,a,a,Sometimes
animal,book,a,an,Sometimes
sailor,collar,a,a,Rarely
post,office,an,a,Never
red,knob,a,a,Rarely
orange,soda,,,Sometimes
ant,food,,,Never
purple,sweater,a,a,Often
orange,block,a,an,Rarely
purple,leg,a,a,Never
questionnaire,letter,a,a,Rarely.
baby,turtle,a,a,Often
tee,shirt,a,a,Often
water,running,,,Sometimes
wheelie,bin,a,a,Often
furniture,curtain,a,a,Rarely
water,honey,,,Almost always
room,sweet,a,a,Almost always
picture,rail,a,a,Rarely
toy,closet,a,a,Rarely
honey,butter,,,Sometimes
red,toy,a,a,Sometimes
standing,wall,a,a,Almost always
bread,roll,a,a,Often
brown,hair,,,Often
red,sky,a,a,Rarely.
oil,pot,a,an,Rarely
wet,water,,,Always
red,tricycle,a,a,Often
door,step,a,a,Often
purple,bracelet,a,a,Sometimes
video,player,a,a,Almost always
baby,bee,a,a,Almost always
boy,bike,a,a,Sometimes
kitchen,window,a,a,Sometimes
yellow,orange,an,a,Sometimes
brown,blanket,a,a,Often
red,van,a,a,Rarely
hot,roll,a,a,Often
bacon,toast,,,Rarely
spinach,dip,a,a,Often
garden,soil,,,Sometimes
cough,syrup,,,Never
elephant,garland,a,an,Rarely
press,office,an,a,Sometimes
passenger,car,a,a,Almost always
elephant,weight,a,an,Almost always
purple,cranium,a,a,Rarely
light,orange,an,a,Often
princess,snack,a,a,Rarely
secretary,table,a,a,Rarely
ocean,train,a,an,Never
asteroid,hit,a,an,Rarely
fat,pig,a,a,Often
bible,road,a,a,Never
yellow,mommy,a,a,Never
hot,rice,,,Almost always.
dinosaur,artifact,an,a,Rarely
mommy,cat,a,a,Often
bouncing,ball,a,a,Almost always.
game,marble,a,a,Rarely
bear,workshop,a,a,Never
upstairs,stair,a,an,Almost Always
pee,pod,a,a,Never
green,red,,,Never
country,house,a,a,Sometimes
plum,soup,,,Rarely
purple,bath,a,a,Never
wet,rug,a,a,Almost always
hall,lighting,,,Often
foot,print,a,a,Never
pink,crayon,a,a,About half the time
crab,line,a,a,Rarely
dog,walk,a,a,Often
bright,spot,a,a,Sometimes
chocolate,lollipop,a,a,Rarely
street,shop,a,a,Often
dirty,face,a,a,Rarely.
furry,platypus,a,a,Never
mud,water,,,Rarely
picture,wall,a,a,Rarely
light,flashing,,,Often
outhouse,door,a,an,Never
microscope,spotlight,a,a,Rarely
paper,shop,a,a,Sometimes
red,flap,a,a,Rarely.
video,tape,a,a,Almost always
car,door,a,a,Never
ant,aphid,an,an,Rarely
art,museum,a,an,Often
thick,gland,a,a,Rarely
stag,group,a,a,Rarely
milk,jug,a,a,Almost Always
baby,bird,a,a,Sometimes
singing,drawer,a,a,Never
bathing,suit,a,a,Never
brass,dart,a,a,Rarely
dressing,table,a,a,Rarely
red,bed,a,a,Rarely
purple,window,a,a,Rarely
spot,check,a,a,Sometimes
bear,teddy,a,a,Almost always
banana,tree,a,a,Rarely
dogs,barking,,,Almost always
top,drawer,a,a,Almost always
horse,running,,,Rarely
eleven,pound,a,an,Never
fire,officer,an,a,Often
weight,bag,a,a,Rarely
whisky,ginger,,,Almost always
red,string,a,a,Rarely
icy,mountain,a,an,Sometimes
orange,rain,,,Never
oatmeal,cookie,a,an,Often
food,company,a,a,Often
wooden,floor,a,a,Often
strawberry,bar,a,a,Rarely
bear,jump,a,a,Never
banana,mess,a,a,Rarely.
farm,house,a,a,Rarely
red,tomato,a,a,Almost always.
shop,envelope,an,a,Rarely
bottom,drawer,a,a,Almost always
yellow,school,a,a,Rarely
computer,game,a,a,Almost always
doggy,tail,a,a,Almost Always
melon,ball,a,a,Never
tea,room,a,a,Rarely
naked,mole,a,a,Almost always
bunny,book,a,a,Rarely
bug,spray,a,a,Often
brown,train,a,a,Rarely
flower,pot,a,a,Often
scaly,skin,,,Rarely
hot,dog,a,a,Never
red,bike,a,a,Often
flat,cheese,,,Almost always
stuffed,animal,an,a,Never
diaper,wipe,a,a,Almost always.
night,plane,a,a,Rarely
yellow,bird,a,a,Often
pop,opera,an,a,Rarely
tree,house,a,a,Rarely
dark,leaf,a,a,Rarely
yellow,mom,a,a,Never
red,street,a,a,Never
pink,hair,,,Rarely
man,mum,a,a,Rarely
fish,jelly,,,Rarely
bus,park,a,a,Rarely.
baby,talk,a,a,Almost always
orange,guy,a,an,Never
thick,mustache,a,a,Often
compost,pile,a,a,Often
press,jacket,a,a,Rarely
spider,head,a,a,Never
green,tie,a,a,Rarely
ear,lobe,a,an,Almost always
back,room,a,a,Rarely
outside,bird,a,an,Often
kid,driving,,,Never
gold,coffee,,,Never
honey,pot,a,a,Never
purple,book,a,a,Rarely
wedding,day,a,a,Rarely.
moon,rover,a,a,Almost always
dark,snake,a,a,Often
penny,packet,a,a,Never
car,driver,a,a,Often
plastic,back,a,a,Rarely
orange,colors,a,an,Often
apple,juicer,a,an,Rarely
green,mountain,a,a,Sometimes
yellow,hippo,a,a,Never
hot,mama,a,a,Never
red,onion,an,a,Rarely
cherry,tomato,a,a,Often.
doll,house,a,a,Never
giant,puppet,a,a,Rarely
motor,car,a,a,Almost always
dark,lounge,a,a,Sometimes
brown,sugar,,,Often
telephone,ringing,,,Almost always
red,pillow,a,a,Rarely.
silver,ship,a,a,Rarely
hot,sundae,a,a,Rarely
pink,elephant,an,a,Rarely
brown,doggie,a,a,Often
yogurt,hair,,,Never
kids,honey,,,Almost always
guy,walking,,,Almost always
taller,spoon,a,a,Rarely.
pirate,necklace,a,a,Rarely
cloudy,day,a,a,Sometimes
pink,towel,a,a,Rarely
baby,snail,a,a,Rarely
purple,ring,a,a,Rarely
tv,company,a,a,Rarely
sunny,side,a,a,Often
purple,car,a,a,Rarely
green,monkey,a,a,Rarely
broken,door,a,a,Rarely.
pink,bear,a,a,Never
home,sign,a,a,Almost Always
plastic,mat,a,a,Often
home,committee,a,a,Rarely
dinosaur,book,a,a,Rarely
male,goldfish,a,a,Often
saw,blade,a,a,Often
baby,deer,a,a,Sometimes
vampire,zombie,a,a,Never
monkey,whisper,a,a,Never
bathroom,shop,a,a,Never
panel,radiator,a,a,Often
kitchen,net,a,a,Often
red,horn,a,a,Never
outside,shell,a,an,Often
octopus,show,a,an,Never
racing,pigeon,a,a,Rarely
green,shamrock,a,a,Almost Always
land,motorway,a,a,Almost Always
pregnant,blond,a,a,Sometimes
yellow,scarf,a,a,Sometimes
track,record,a,a,Almost always
shovel,scoop,a,a,Almost always.
colors,green,,,Always
orange,bug,a,an,Rarely
green,lego,a,a,Often
crease,mark,a,a,Rarely.
green,dish,a,a,Sometimes
baby,hair,,,Sometimes
gold,plate,a,a,Rarely
piggy,bank,a,a,Never
sugar,cube,a,a,Never
hay,ride,a,a,Rarely
pink,flower,a,a,Often
red,rectangle,a,a,Often
squirt,toy,a,a,Sometimes
panel,game,a,a,Rarely
fridge,freezer,a,a,Almost always
lock,stock,,,Rarely
naked,child,a,a,Never
gold,star,a,a,Rarely
gold,band,a,a,Rarely
room,bathroom,a,a,Almost always
ceiling,tile,a,a,Almost always
dirty,swine,a,a,Rarely
trash,yard,a,a,Rarely
apple,book,a,an,Never.
puffin,nose,a,a,Rarely
tv,day,a,a,Rarely
light,car,a,a,Sometimes
butterfly,cake,a,a,Sometimes
freeze,popsicle,a,a,Almost Always
girl,boot,a,a,Sometimes
bunny,mask,a,a,Rarely
goose,mama,a,a,Almost always
gas,bill,a,a,Often
hot,daddy,a,a,Never
yellow,fuzz,,,Rarely.
dorsal,fin,a,a,Almost always
fairy,pony,a,a,Rarely
singing,voice,a,a,Sometimes
purple,rain,,,Never
message,machine,a,a,Never
bait,shop,a,a,Sometimes
litter,tray,a,a,Almost always
stuffed,mushroom,a,a,Rarely
leather,jacket,a,a,Sometimes
teddy,book,a,a,Rarely
brown,baby,a,a,Almost always
guy,dancing,,,Sometimes
dressing,gown,a,a,Rarely
apple,feast,a,an,Rarely.
cracker,sandwich,a,a,Sometimes
green,cheese,,,Never
tiger,costume,a,a,Often
butter,sandwich,a,a,Often
dinosaur,map,a,a,Never
red,apple,an,a,Often
lady,bug,a,a,Often
red,barn,a,a,Often
light,bulb,a,a,Almost always
cookie,jar,a,a,Often
tool,box,a,a,Often
spiky,fish,a,a,Rarely
gingerbread,guy,a,a,Never
orange,balloon,a,an,Sometimes
taller,one,a,a,Almost always
green,doggy,a,a,Never
tooth,mark,a,a,Rarely
juicy,juice,,,Always
dust,rag,a,a,Often
day,break,a,a,Often
mitten,tree,a,a,Rarely
purple,pants,,,Rarely
stereo,computer,a,a,Never
purple,red,,,Never
railway,track,a,a,Almost always
yellow,roof,a,a,Rarely.
brake,pad,a,a,Almost always
pink,hat,a,a,Rarely
back,row,a,a,Often
sleeveless,top,a,a,Often
red,pepper,a,a,Often
elbow,hair,,,Rarely
green,egg,an,a,Never
tank,top,a,a,Often
yellow,toe,a,a,Never
lady,car,a,a,Never
robot,head,a,a,Never
shoe,store,a,a,Often
chap,advertising,,,Often
daddy,fish,a,a,Never
yellow,driver,a,a,Rarely
dog,dirt,,,Rarely
quarter,bag,a,a,Rarely
top,handle,a,a,Often
choir,boy,a,a,Sometimes
brown,mommy,a,a,Often
paper,bag,a,a,Sometimes
dead,baby,a,a,Never
pink,paper,a,a,Rarely
hotel,room,a,a,Often
hot,cereal,,,Rarely
baby,fish,a,a,Sometimes
ocean,book,a,an,Sometimes
tape,recorder,a,a,Rarely
suite,room,a,a,Sometimes
purple,edge,an,a,Never
rock,honey,,,Rarely.
yellow,lady,a,a,Never
metal,door,a,a,Often
telephone,cord,a,a,Almost always
tail,piece,a,a,Rarely
garden,hose,a,a,Almost always
water,boil,a,a,Almost always
cotton,lining,a,a,Often
red,berry,a,a,Almost Always
dolly,clothes,,,Rarely
top,tooth,a,a,Almost Always
raisin,cookie,a,a,Sometimes
purple,mom,a,a,Never
bubble,bath,a,a,Sometimes
exit,entrance,an,an,Almost Always
bear,home,a,a,Never
smiley,sticker,a,a,Often
slippery,leg,a,a,Never
hot,strawberry,a,a,Never
giant,dragon,a,a,Rarely
pear,yogurt,,,Rarely
red,honey,,,Rarely
shoe,wax,,,Often
wooden,horse,a,a,Never
swimming,suit,a,a,Never
