adjective,noun,article,adj_article,gpt3_judgment
giant,meteor,a,a,Never
yellow,puppy,a,a,Sometimes
library,picture,a,a,Rarely
sister,elephant,an,a,Never
motor,caravan,a,a,Often
dark,ceiling,a,a,Rarely.
red,basket,a,a,Sometimes
purple,hat,a,a,Rarely
lip,stick,a,a,Never
green,card,a,a,Rarely
bus,ride,a,a,Sometimes
bug,bite,a,a,Sometimes
dog,dish,a,a,Never
hot,body,a,a,Never
baby,sweater,a,a,Rarely
triceratops,sand,,,Never
fare,crossing,a,a,Often
coral,snake,a,a,Rarely
fat,piece,a,a,Rarely.
green,cat,a,a,Never
stone,wall,a,a,Rarely
furry,caterpillar,a,a,Often
phone,bill,a,a,Almost always
red,light,a,a,Often
money,tree,a,a,Never
red,balloon,a,a,Often
sunny,day,a,a,Often
wall,tiling,,,Often
wet,hair,,,Sometimes
cock,eye,an,a,Never
foot,lounge,a,a,Rarely.
wedding,dress,a,a,Almost always
nap,video,a,a,Rarely.
red,knight,a,a,Rarely
book,paperback,a,a,Almost always
bedroom,window,a,a,Often
hillbilly,baby,a,a,Never
quarter,past,a,a,Almost always
red,tie,a,a,Sometimes
skunk,burger,a,a,Never
blueberry,pie,a,a,Often
chalk,board,a,a,Sometimes
baby,lion,a,a,Often
yellow,snow,,,Never
carp,family,a,a,Rarely.
herb,garden,a,an,Sometimes
alcove,bedroom,a,an,Rarely.
