adjective,noun,most_common_feature,most_common_feature_rating
star,command,earth,7
,,,
giant,worm,medium,5
,,,
dirty,panty,clean,5
,,,
chip,pan,NA,NA
,,,
skittle,gum,bubble,5
,,,
singing,dog,silent,7
,,,
dirty,slide,dirty,5
,,,
honey,bunny,honey,5
,,,
gift,shop,grocery,4
,,,
house,pig,outside,7
,,,
coral,bed,down,5
,,,
puddle,boot,dry,6
,,,
green,bowl,white,5
,,,
wash,basin,wash,3
,,,
tar,pit,dirt,5
,,,
orange,cake,white,5
,,,
red,meat,white,5
,,,
bronze,sword,iron,6
,,,
yellow,egg,white,6
,,,
circus,car,normal,5
,,,
wet,rain,wet,7
,,,
bedroom,bungalow,NA,NA
,,,
pirate,girl,civilian,6
,,,
wrist,watch,wrist,6
,,,
guy,scream,NA,NA
,,,
snow,clothes,dry,6
,,,
bottom,edge,NA,NA
,,,
pirate,show,human,5
,,,
purple,card,white,5
,,,
toy,car,real,6
,,,
pink,phone,gray,4
,,,
square,knot,overhand,4
,,,
worker,man,worker,5
,,,
dragon,attack,human,6
,,,
apple,sauce,apple,5
,,,
cataract,operation,heart,4
,,,
plastic,bowl,ceramic,5
,,,
panda,bear,black,5
,,,
green,dinosaur,NA,NA
,,,
dinner,bowl,dinner,3
,,,
leather,coat,puffy,4
,,,
entrance,hall,room,5
,,,
fruit,juice,fruit,6
,,,
ocean,floor,ocean,6
,,,
hot,muffin,cold,5
,,,
dark,cloud,light,5
,,,
vitamin,drop,water,6
,,,
body,shop,NA,NA
,,,
pig,boil,pig,3
,,,
garage,door,room,5
,,,
paddle,game,ball,5
,,,
hot,spice,hot,6
,,,
heart,plate,NA,NA
,,,
brake,light,front,4
,,,
purple,spider,black,6
,,,
giant,meteor,medium,4
,,,
yellow,puppy,brown,5
,,,
library,picture,NA,NA
,,,
sister,elephant,NA,NA
,,,
motor,caravan,motor,5
,,,
dark,ceiling,light,4
,,,
red,basket,brown,5
,,,
purple,hat,black,4
,,,
lip,stick,chap,5
,,,
green,card,white,5
,,,
bus,ride,car,5
,,,
bug,bite,bug,6
,,,
dog,dish,human,6
,,,
hot,body,warm,5
,,,
baby,sweater,adult,6
,,,
triceratops,sand,NA,NA
,,,
fare,crossing,NA,NA
,,,
coral,snake,garter,5
,,,
fat,piece,medium,4
,,,
green,cat,white,5
,,,
stone,wall,stone,4
,,,
furry,caterpillar,hairless,4
,,,
phone,bill,water,5
,,,
red,light,white,4
,,,
money,tree,leaf,6
,,,
red,balloon,red,4
,,,
sunny,day,sunny,3
,,,
wall,tiling,floor,5
,,,
wet,hair,dry,5
,,,
cock,eye,open,5
,,,
foot,lounge,NA,NA
,,,
wedding,dress,work,4
,,,
nap,video,awake,6
,,,
red,knight,NA,NA
,,,
book,paperback,book,7
,,,
bedroom,window,building,6
,,,
hillbilly,baby,suburban,4
,,,
quarter,past,NA,NA
,,,
red,tie,white,4
,,,
skunk,burger,cow,6
,,,
blueberry,pie,apple,3
,,,
chalk,board,white,5
,,,
baby,lion,adult,5
,,,
yellow,snow,white,6
,,,
carp,family,human,5
,,,
herb,garden,herb,5
,,,
alcove,bedroom,NA,NA
,,,
swimming,suit,work,4
,,,
fruit,tree,leaf,6
,,,
note,card,note,5
,,,
yellow,screw,gray,6
,,,
hash,brown,hash,5
,,,
sugar,plum,plain,6
,,,
potato,skin,NA,NA
,,,
chamber,pot,NA,NA
,,,
orange,beak,NA,NA
,,,
fairy,lady,human,7
,,,
rice,milk,cow,5
,,,
grape,juice,orange,5
,,,
round,edge,sharp,5
,,,
water,fountain,water,6
,,,
office,chair,school,5
,,,
foot,pool,body,5
,,,
yellow,tube,white,4
,,,
yellow,knight,NA,NA
,,,
day,pastor,day,6
,,,
whale,squirt,NA,NA
,,,
pink,paint,white,4
,,,
cookie,sandwich,bread,6
,,,
giant,truck,medium,4
,,,
flower,bed,flower,5
,,,
yellow,wheel,black,5
,,,
dark,side,NA,NA
,,,
gold,balloon,red,4
,,,
lemon,soda,grape,4
,,,
purple,stage,black,5
,,,
cream,cake,NA,NA
,,,
puppy,food,human,6
,,,
baby,heart,adult,5
,,,
smiley,ball,plain,6
,,,
gold,guy,flesh,7
,,,
varnish,stripper,NA,NA
,,,
purple,square,NA,NA
,,,
red,phone,gray,4
,,,
brown,pumpkin,orange,6
,,,
flower,petal,flower,6
,,,
instrument,panel,instrument,4
,,,
giant,saucer,medium,1
,,,
face,painting,canvas,4
,,,
curve,piece,straight,3
,,,
raisin,bun,plain,6
,,,
milk,bar,alcohol,6
,,,
pink,diamond,clear,5
,,,
back,window,front,4
,,,
apple,green,NA,NA
,,,
outside,edge,NA,NA
,,,
string,puppet,sock,4
,,,
green,tower,NA,NA
,,,
rolling,ball,rolling,7
,,,
rain,storm,rain,5
,,,
green,popsicle,red,5
,,,
hot,pants,cool,6
,,,
light,lunch,medium,5
,,,
light,ball,dark,5
,,,
hammer,fork,NA,NA
,,,
farm,game,city,4
,,,
caterpillar,walking,human,3
,,,
wet,day,dry,5
,,,
red,roof,black,5
,,,
pink,collar,blue,5
,,,
top,coat,top,7
,,,
bear,walking,human,4
,,,
flower,box,NA,NA
,,,
kid,cartoon,kid,6
,,,
yellow,paper,white,6
,,,
skating,girl,standing,4
,,,
dead,brother,alive,5
,,,
lady,song,lady,5
,,,
pink,ear,tan,4
,,,
cookie,dough,bread,4
,,,
light,green,medium,5
,,,
edge,piece,center,5
,,,
computer,scientist,NA,NA
,,,
orange,star,white,6
,,,
farmer,lady,NA,NA
,,,
troll,bridge,traveler,7
,,,
fire,truck,personal,4
,,,
slate,mine,iron,5
,,,
brown,barn,red,4
,,,
gold,game,NA,NA
,,,
police,car,civilian,6
,,,
tan,lotion,skin,5
,,,
rectangle,diamond,round brilliant,6
,,,
baby,basket,food,5
,,,
broken,piece,working,6
,,,
thick,person,medium,5
,,,
fish,book,human,7
,,,
purple,lollipop,red,4
,,,
hot,pot,cool,6
,,,
hall,servant,house,6
,,,
crispy,piece,NA,NA
,,,
dictionary,writer,book,5
,,,
thick,sandwich,medium,5
,,,
square,block,rectangular,6
,,,
puppy,dog,adult,5
,,,
farmer,truck,normal,5
,,,
yellow,baby,NA,NA
,,,
hot,plastic,cold,6
,,,
hot,mommy,cool,5
,,,
mud,puddle,water,6
,,,
arcade,music,NA,NA
,,,
green,field,green,5
,,,
cocktail,side,NA,NA
,,,
telephone,box,telephone,5
,,,
quarter,inch,NA,NA
,,,
coffee,cake,plain,5
,,,
picnic,meal,home,4
,,,
ice,tea,warm,5
,,,
baby,spoon,adult,5
,,,
yellow,page,white,6
,,,
crystal,cave,rock,5
,,,
light,wood,dark,4
,,,
green,finger,NA,NA
,,,
block,building,block,4
,,,
baby,doll,baby,5
,,,
elephant,trumpeting,human,5
,,,
yellow,rain,clear,7
,,,
yard,clipping,NA,NA
,,,
back,garden,back,5
,,,
green,path,brown,5
,,,
red,cutter,NA,NA
,,,
snow,ninja,dry,5
,,,
nose,guy,NA,NA
,,,
airplane,ride,car,5
,,,
fish,jump,frog,4
,,,
green,overalls,blue,5
,,,
stump,grinder,NA,NA
,,,
singing,mama,silent,5
,,,
pink,clothes,NA,NA
,,,
dirty,hand,dirty,5
,,,
drum,stick,tree,6
,,,
bear,cave,empty,6
,,,
green,pants,gray,5
,,,
hot,bun,cool,5
,,,
pink,satin,NA,NA
,,,
daddy,ear,NA,NA
,,,
varnish,paint,color,6
,,,
silver,car,black,4
,,,
giant,puzzle,medium,4
,,,
red,pot,brown,5
,,,
guy,wizard,guy,7
,,,
red,door,brown,4
,,,
picture,frame,picture,4
,,,
infant,teacher,adult,7
,,,
lizard,mom,human,3
,,,
lion,dung,human,3
,,,
orange,nose,NA,NA
,,,
puzzle,pile,NA,NA
,,,
hot,fire,hot,7
,,,
iron,sword,iron,6
,,,
gold,map,green,4
,,,
grandfather,clock,NA,NA
,,,
whisky,drop,water,6
,,,
paint,brush,hair,4
,,,
solid,rain,liquid,7
,,,
human,body,human,3
,,,
dead,plant,alive,5
,,,
tea,cup,water,5
,,,
dirty,blanket,clean,5
,,,
chip,machine,NA,NA
,,,
leopard,seal,harbor,5
,,,
baby,leaf,adult,4
,,,
yellow,circle,NA,NA
,,,
food,chain,NA,NA
,,,
fire,exit,building,6
,,,
mutant,peacock,normal,6
,,,
red,drum,NA,NA
,,,
yellow,parrot,red,5
,,,
dirty,plate,clean,5
,,,
round,track,straight,6
,,,
slippery,sock,frictiony,4
,,,
baby,dog,adult,5
,,,
paw,print,foot,4
,,,
red,towel,white,5
,,,
guy,robot,NA,NA
,,,
red,stripe,NA,NA
,,,
dirty,pants,clean,5
,,,
red,track,red,6
,,,
meteor,crater,meteor,6
,,,
carpet,shop,NA,NA
,,,
green,candy,NA,NA
,,,
thorn,bush,smooth,6
,,,
hand,bag,NA,NA
,,,
yellow,line,NA,NA
,,,
green,frosting,white,5
,,,
square,pan,circle,6
,,,
pointy,tree,round,5
,,,
purple,necklace,silver,3
,,,
cotton,candy,NA,NA
,,,
top,hat,baseball,4
,,,
potato,plant,fern,3
,,,
color,popsicle,NA,NA
,,,
red,hole,brown,6
,,,
wall,clock,wall,6
,,,
tea,pot,cooking,5
,,,
frog,toy,human,6
,,,
blooming,herb,ripening,5
,,,
bottom,shelf,middle,5
,,,
cup,cake,pan,5
,,,
pink,brush,black,4
,,,
purple,boot,brown,5
,,,
fruit,snack,processed,5
,,,
brown,coffee,brown,6
,,,
yellow,sleeve,NA,NA
,,,
umbrella,handle,door,4
,,,
purple,tower,NA,NA
,,,
hot,cocoa,cool,6
,,,
animal,cracker,plain,6
,,,
broken,bridge,working,4
,,,
kid,scissors,adult,5
,,,
dog,book,human,6
,,,
furnishings,gift,NA,NA
,,,
man,face,NA,NA
,,,
light,horse,dark,4
,,,
phone,ring,phone,5
,,,
red,top,NA,NA
,,,
kids,block,kids,5
,,,
giant,mess,medium,5
,,,
rolling,robot,stationary,6
,,,
elephant,eye,ant,4
,,,
lounge,window,NA,NA
,,,
green,strawberry,green,4
,,,
oven,door,room,6
,,,
dirty,girl,clean,6
,,,
camera,man,NA,NA
,,,
maple,syrup,maple,5
,,,
pink,dinosaur,green,3
,,,
traffic,jam,NA,NA
,,,
mail,card,note,4
,,,
rope,ladder,metal,4
,,,
broken,cracker,whole,5
,,,
wooden,button,plastic,6
,,,
flat,edge,sharp,5
,,,
kid,toy,kid,6
,,,
milk,man,NA,NA
,,,
dancing,troop,scout,3
,,,
sinus,infection,viral,NA
,,,
back,yard,back,5
,,,
arm,pit,finger,5
,,,
guy,talking,NA,NA
,,,
day,game,day,6
,,,
photo,album,song,3
,,,
outside,guy,inside,5
,,,
spaghetti,meatball,spaghetti,4
,,,
kitchen,sink,kitchen,5
,,,
corner,piece,NA,NA
,,,
purple,octagon,NA,NA
,,,
diving,board,surf,4
,,,
garden,worm,wild,6
,,,
bright,star,faint,5
,,,
patio,door,room,6
,,,
brown,eye,brown,5
,,,
banana,bread,NA,NA
,,,
enamel,shell,calcium,7
,,,
furry,tummy,hairless,6
,,,
solar,eclipse,lunar,6
,,,
purple,flower,green,5
,,,
drop,curtain,NA,NA
,,,
bull,frog,common,4
,,,
purple,purse,black,4
,,,
video,camera,photo,5
,,,
orange,animal,brown,5
,,,
rag,doll,baby,3
,,,
yellow,sun,yellow,6
,,,
clothes,hamper,clothes,6
,,,
cookie,cutter,pizza,3
,,,
green,bow,white,3
,,,
plastic,card,plastic,5
,,,
giant,shoe,medium,5
,,,
pink,pipe,grey,5
,,,
orange,skittle,red,2
,,,
head,louse,NA,NA
,,,
purple,candy,red,5
,,,
orange,square,NA,NA
,,,
cooker,gas,NA,NA
,,,
locked,closet,unlocked,5
,,,
red,ant,brown,5
,,,
box,office,home,5
,,,
orange,frog,green,6
,,,
mop,head,NA,NA
,,,
puppy,doggy,adult,5
,,,
tool,repair,tool,6
,,,
color,page,NA,NA
,,,
hip,bone,NA,NA
,,,
red,ladybug,red,6
,,,
red,wheel,black,5
,,,
purple,bat,brown,5
,,,
cake,shop,NA,NA
,,,
picture,hook,real,6
,,,
crusty,roll,plain,5
,,,
bright,tail,dark,5
,,,
daddy,gorilla,single,4
,,,
ladies,toilet,NA,NA
,,,
gravel,pile,dirt,3
,,,
dog,stand,human,5
,,,
clock,piece,NA,NA
,,,
yellow,shirt,grey,4
,,,
velvety,horse,velvety,6
,,,
purple,cabbage,green,5
,,,
dirty,mouth,clean,4
,,,
top,trainer,top,5
,,,
birth,present,birthday,5
,,,
dark,sky,light,4
,,,
coffee,milk,NA,NA
,,,
baby,bounce,child,5
,,,
scar,scar,NA,NA
,,,
battery,drawer,charger,5
,,,
circus,truck,NA,NA
,,,
room,table,room,6
,,,
boa,constrictor,boa,7
,,,
car,transporter,truck,5
,,,
bleeding,finger,healed,6
,,,
human,head,ant,4
,,,
ball,bounce,ball,5
,,,
yellow,light,yellow,5
,,,
tree,trunk,tree,6
,,,
ball,bearing,ball,6
,,,
sweat,gland,sweat,5
,,,
call,line,call,4
,,,
bin,liner,vinyl,5
,,,
red,brush,black,4
,,,
digger,truck,transport,5
,,,
shovel,honey,NA,NA
,,,
cheese,pie,apple,5
,,,
night,spider,night,6
,,,
store,lady,NA,NA
,,,
teddy,bear,teddy,6
,,,
medication,honey,recreational,6
,,,
school,book,recreational,5
,,,
goldfish,day,NA,NA
,,,
toy,boy,real,6
,,,
pink,girl,tan,3
,,,
people,town,people,7
,,,
worm,soup,chicken,4
,,,
pink,worm,pink,6
,,,
egg,shell,clam,3
,,,
baby,song,adult,6
,,,
furry,face,furry,5
,,,
brown,mountain,green,5
,,,
red,coloring,red,5
,,,
patio,barbecue,backyard,5
,,,
blonde,hair,brown,6
,,,
top,lid,top,6
,,,
wooden,reel,plastic,4
,,,
iron,leg,flesh,6
,,,
baby,crayon,child,5
,,,
train,line,air,4
,,,
birth,day,every,6
,,,
doctor,kit,NA,NA
,,,
door,key,door,4
,,,
bus,fare,bus,5
,,,
solid,piece,solid,5
,,,
fish,soup,chicken,4
,,,
princess,bed,commoner,6
,,,
top,edge,NA,NA
,,,
turkey,sandwich,turkey,3
,,,
timer,switch,untimed,5
,,,
red,mouse,NA,NA
,,,
green,garbage,grey,6
,,,
wet,bird,dry,5
,,,
yellow,pepper,black,3
,,,
dalmatian,dog,bulldog,3
,,,
red,fence,brown,3
,,,
daddy,pirate,daddy,4
,,,
brown,clump,brown,5
,,,
red,airplane,white,6
,,,
military,police,civilian,5
,,,
red,orange,orange,6
,,,
bear,hunt,deer,4
,,,
red,triangle,NA,NA
,,,
gas,station,gas,5
,,,
pink,flamingo,pink,6
,,,
yellow,tree,green,5
,,,
satellite,dish,satellite,6
,,,
cigar,smoking,cigarette,5
,,,
dance,music,dance,5
,,,
candy,bar,nutrition,4
,,,
egg,box,milk,5
,,,
sand,box,NA,NA
,,,
pet,cage,pet,5
,,,
yellow,coral,brown,4
,,,
dark,hair,dark,5
,,,
vegetable,oil,vegetable,5
,,,
green,picture,NA,NA
,,,
green,baby,tan,3
,,,
pant,leg,pant,6
,,,
hedge,cutter,NA,NA
,,,
beef,hash,NA,NA
,,,
plastic,box,cardboard,5
,,,
green,nose,tan,3
,,,
brown,sauce,brown,5
,,,
yellow,coloring,red,5
,,,
hot,lunch,cold,5
,,,
fish,stall,NA,NA
,,,
wire,sandwich,NA,NA
,,,
bright,color,dark,5
,,,
bathroom,window,room,5
,,,
hot,ride,NA,NA
,,,
tub,seat,NA,NA
,,,
draw,picture,photo,6
,,,
water,pipe,oil,4
,,,
safari,hat,sun,5
,,,
hot,seat,temperate,5
,,,
top,step,middle,6
,,,
spider,ring,human,6
,,,
bottom,corner,NA,NA
,,,
cotton,ball,plastic,5
,,,
record,button,NA,NA
,,,
doll,baby,real,5
,,,
cat,product,human,6
,,,
rusty,bucket,clean,4
,,,
gun,runner,NA,NA
,,,
washing,machine,washing,4
,,,
naked,butt,clothed,6
,,,
cabbage,leaf,fern,2
,,,
dirty,sock,clean,4
,,,
karate,chop,karate,3
,,,
yard,tent,NA,NA
,,,
goat,boy,human,3
,,,
father,duck,father,5
,,,
pink,rattle,grey,5
,,,
witch,hair,NA,NA
,,,
crane,station,NA,NA
,,,
toy,store,NA,NA
,,,
dark,ball,light,5
,,,
pink,corner,NA,NA
,,,
truck,piece,car,5
,,,
red,jumper,grey,4
,,,
pink,dot,black,5
,,,
money,card,money,3
,,,
teapot,water,NA,NA
,,,
chocolate,cake,vanilla,4
,,,
person,game,person,6
,,,
sea,urchin,sea,7
,,,
red,broccoli,green,5
,,,
bus,ticket,bus,4
,,,
rock,pool,cement,6
,,,
red,dragon,red,1
,,,
movie,camera,photo,5
,,,
flat,mouth,curved,6
,,,
salmon,leaping,deer,2
,,,
outside,person,inside,4
,,,
tin,tray,plastic,5
,,,
hand,glove,hand,7
,,,
scout,group,NA,NA
,,,
guy,beard,guy,7
,,,
silver,beard,grey,5
,,,
smoke,stack,smoke,5
,,,
rain,glasses,sun,4
,,,
zucchini,plant,fern,3
,,,
purple,bud,green,5
,,,
cash,till,NA,NA
,,,
pink,dragon,red,1
,,,
girl,case,NA,NA
,,,
orange,cutter,apple,3
,,,
kitchen,door,room,6
,,,
pear,skin,potato,4
,,,
dirty,hamper,dirty,6
,,,
orange,sunset,orange,6
,,,
hot,wood,cool,5
,,,
dirty,penny,dirty,6
,,,
dirty,cup,clean,5
,,,
apple,oatmeal,maple,4
,,,
olive,green,dark,5
,,,
pear,juice,apple,5
,,,
water,spout,water,6
,,,
bacon,crisp,bacon,5
,,,
knife,edge,knife,6
,,,
green,crunch,NA,NA
,,,
doggy,bone,human,3
,,,
yellow,eye,brown,5
,,,
yellow,apple,red,5
,,,
farm,channel,NA,NA
,,,
boy,seat,NA,NA
,,,
machine,chap,NA,NA
,,,
eye,ball,eye,5
,,,
thick,branch,medium,5
,,,
sunny,path,shaded,4
,,,
back,step,NA,NA
,,,
brown,tail,brown,4
,,,
gravel,border,NA,NA
,,,
pink,tights,black,5
,,,
store,room,NA,NA
,,,
frog,outfit,human,7
,,,
yellow,hay,yellow,6
,,,
red,strawberry,red,6
,,,
dead,turtle,alive,5
,,,
inch,square,NA,NA
,,,
shell,suit,cloth,6
,,,
honey,doll,plastic,5
,,,
ceiling,rose,garden,5
,,,
baby,meat,adult,5
,,,
flat,surface,rough,6
,,,
fat,head,medium,5
,,,
circus,officer,NA,NA
,,,
sweet,baby,smelly,3
,,,
purple,grape,green,5
,,,
pencil,eraser,pencil,5
,,,
tie,back,NA,NA
,,,
massage,table,corporate,4
,,,
orange,leaf,green,6
,,,
sand,sheep,NA,NA
,,,
red,side,NA,NA
,,,
red,caboose,red,5
,,,
pink,window,clear,6
,,,
sweet,pea,plain,5
,,,
orange,angelfish,silver,5
,,,
cork,tile,NA,NA
,,,
bleeding,head,healed,6
,,,
brown,fur,brown,5
,,,
mommy,elephant,single,4
,,,
daddy,glasses,adult,6
,,,
round,tree,straight,6
,,,
red,bear,black,5
,,,
laundry,basket,laundry,3
,,,
egg,white,egg,5
,,,
peacock,body,ant,4
,,,
green,plant,green,6
,,,
dead,worm,alive,5
,,,
dog,food,human,4
,,,
wine,sherry,wine,7
,,,
swimming,guy,sitting,3
,,,
sign,gate,NA,NA
,,,
animal,magazine,human,5
,,,
furry,fuzzy,furry,6
,,,
dinosaur,hunt,deer,5
,,,
food,shopping,food,4
,,,
draw,bridge,beam,5
,,,
bath,door,room,6
,,,
triangle,piece,NA,NA
,,,
baby,brother,middle,5
,,,
purple,boxcar,brown,5
,,,
broken,arm,working,6
,,,
sickle,cell,round,6
,,,
snow,boot,NA,NA
,,,
orange,heart,red,5
,,,
hot,chicken,cool,5
,,,
ash,tray,food,5
,,,
radio,cassette,song,6
,,,
gold,reindeer,brown,6
,,,
unbuttoned,jacket,unbuttoned,5
,,,
cigar,box,NA,NA
,,,
frozen,water,liquid,6
,,,
red,fruit,red,3
,,,
yellow,drum,white,5
,,,
lighter,hair,darker,6
,,,
mashed,potato,unmashed,6
,,,
oat,porridge,oat,4
,,,
festival,company,NA,NA
,,,
flat,piece,NA,NA
,,,
college,downtown,city,6
,,,
pony,tail,NA,NA
,,,
giant,thorn,medium,4
,,,
sunny,spot,shady,5
,,,
orange,pants,grey,5
,,,
vanilla,chocolate,NA,NA
,,,
cheese,pizza,cheese,5
,,,
circus,animal,wild,6
,,,
plastic,circle,NA,NA
,,,
chicken,dance,human,6
,,,
chicken,finger,human,3
,,,
green,piece,NA,NA
,,,
green,salad,green,6
,,,
brown,grey,grey,7
,,,
tea,bag,NA,NA
,,,
top,floor,middle,5
,,,
dinosaur,movie,NA,NA
,,,
pink,lollypop,pink,3
,,,
fish,food,human,4
,,,
night,shirt,day,5
,,,
puppy,mom,human,3
,,,
purple,sand,yellow,5
,,,
yellow,train,black,5
,,,
pepperoni,pizza,cheese,4
,,,
yellow,leaf,green,6
,,,
mommy,deer,adult,5
,,,
ear,plug,NA,NA
,,,
bird,box,NA,NA
,,,
back,bedroom,NA,NA
,,,
food,pea,food,7
,,,
adult,alligator,adult,5
,,,
broken,foot,working,5
,,,
soccer,player,NA,NA
,,,
garbage,feast,good,6
,,,
red,cake,white,5
,,,
wet,soaking,wet,7
,,,
bear,boob,human,3
,,,
dam,bush,NA,NA
,,,
dead,guy,alive,5
,,,
face,pumpkin,plain,6
,,,
primrose,oil,NA,NA
,,,
top,bunk,middle,5
,,,
red,popsicle,red,4
,,,
daddy,tape,NA,NA
,,,
land,horse,land,7
,,,
dog,collar,dog,6
,,,
turtle,tank,human,7
,,,
yellow,key,grey,5
,,,
night,light,night,5
,,,
book,honey,NA,NA
,,,
top,gear,middle,5
,,,
pink,bird,black,3
,,,
alloy,wheel,NA,NA
,,,
brown,leaf,green,5
,,,
test,barometer,test,7
,,,
baby,book,adult,6
,,,
plum,pudding,vanilla,4
,,,
press,record,press,4
,,,
green,apple,red,5
,,,
workshop,downtown,NA,NA
,,,
boy,voice,NA,NA
,,,
dirty,fox,dirty,6
,,,
property,market,securities,4
,,,
washing,powder,NA,NA
,,,
block,cheese,sliced,4
,,,
pink,tube,NA,NA
,,,
train,fare,bus,5
,,,
dead,obituary,dead,7
,,,
snow,man,flesh,7
,,,
farmer,overalls,farmer,5
,,,
roast,beef,unroasted,6
,,,
ironing,board,ironing,4
,,,
broken,string,unbroken,6
,,,
wine,glasses,water,5
,,,
birth,date,usual,6
,,,
bottom,one,NA,NA
,,,
spider,monkey,macaque,3
,,,
farm,puppet,city,5
,,,
wash,room,bath,5
,,,
red,ball,NA,NA
,,,
dust,wagon,NA,NA
,,,
gold,fish,silver,5
,,,
burnt,finger,normal,6
,,,
horse,box,cardboard,5
,,,
mummy,shout,NA,NA
,,,
velcro,latch,metal,5
,,,
curb,stone,garden,4
,,,
batter,box,cardboard,5
,,,
trash,call,okay,5
,,,
brown,patch,green,4
,,,
dust,ball,plastic,5
,,,
toy,bus,real,6
,,,
ginger,man,flesh,7
,,,
wood,sculpture,stone,4
,,,
red,bug,black,5
,,,
baby,chair,adult,6
,,,
brick,fireplace,brick,5
,,,
candy,piece,NA,NA
,,,
turkey,leg,human,3
,,,
red,bucket,NA,NA
,,,
pencil,box,NA,NA
,,,
fat,fryer,NA,NA
,,,
band,man,normal,5
,,,
spray,bottle,cap,6
,,,
unbuttoned,pants,buttoned,6
,,,
dirty,mama,clean,6
,,,
hot,curry,spicy,5
,,,
red,piranha,grey,6
,,,
bear,family,human,5
,,,
daddy,face,human,4
,,,
yogurt,pudding,chocolate,4
,,,
diaper,check,NA,NA
,,,
mud,truck,highway,5
,,,
fish,shop,clothes,4
,,,
mountain,bike,commuter,5
,,,
exit,sign,road,5
,,,
purple,food,brown,4
,,,
baby,cub,baby,7
,,,
food,restaurant,food,7
,,,
bath,tub,bath,5
,,,
baseball,game,soccer,4
,,,
treasure,chest,clothes,5
,,,
red,bird,brown,4
,,,
sweet,gift,NA,NA
,,,
yellow,piece,NA,NA
,,,
dirty,piggy,dirty,5
,,,
hot,soup,cold,5
,,,
yellow,flower,red,3
,,,
plastic,heron,flesh,6
,,,
dark,bikini,light,5
,,,
garbage,collector,coin,2
,,,
hot,flaming,hot,7
,,,
light,hair,dark,5
,,,
back,corner,NA,NA
,,,
green,stripe,NA,NA
,,,
slippery,ice,slippery,7
,,,
fat,boy,average,5
,,,
taller,bed,standard,5
,,,
color,paper,white,6
,,,
bubble,container,NA,NA
,,,
tan,wig,blonde,4
,,,
red,gecko,green,5
,,,
red,puppy,brown,5
,,,
brown,ant,black,6
,,,
sweet,onion,pungent,6
,,,
baby,worm,adult,6
,,,
water,swim,water,7
,,,
fat,worm,thin,6
,,,
intercom,beep,NA,NA
,,,
alarm,clock,wall,5
,,,
color,paint,color,7
,,,
cotton,shirt,cotton,5
,,,
hot,tot,NA,NA
,,,
cauliflower,pea,NA,NA
,,,
hot,wash,warm,5
,,,
ostrich,egg,chicken,6
,,,
silver,green,NA,NA
,,,
board,tile,ceramic,5
,,,
pink,violet,purple,5
,,,
dirty,nose,clean,6
,,,
ant,path,ant,5
,,,
pumpkin,head,human,3
,,,
quarter,teaspoon,NA,NA
,,,
bright,paper,white,5
,,,
heart,beat,drum,4
,,,
red,road,grey,5
,,,
hot,onion,cool,6
,,,
orange,bead,clear,5
,,,
shaking,ball,still,5
,,,
orange,dinosaur,green,3
,,,
daddy,bird,mother,4
,,,
green,marker,black,5
,,,
daddy,rooster,daddy,7
,,,
kitchen,table,kitchen,4
,,,
mackerel,fishing,commercial,6
,,,
green,pig,pink,6
,,,
top,tap,NA,NA
,,,
pumpkin,farm,dairy,4
,,,
orange,tummy,tan,3
,,,
red,button,white,5
,,,
yellow,bowl,white,5
,,,
bottom,oven,single,5
,,,
blowing,wind,blowing,7
,,,
tiger,picture,family,5
,,,
street,sweeper,floor,5
,,,
entrance,door,room,6
,,,
water,table,wood,5
,,,
rocket,shot,NA,NA
,,,
beef,sandwich,turkey,3
,,,
detective,show,NA,NA
,,,
pumpkin,pie,apple,5
,,,
green,moose,brown,6
,,,
orange,cat,NA,NA
,,,
yellow,tongue,pink,6
,,,
purple,top,NA,NA
,,,
salmon,salad,green,6
,,,
purple,captain,human,6
,,,
bright,pink,bright,5
,,,
clown,hair,human,3
,,,
report,card,greeting,5
,,,
rainy,day,sunny,4
,,,
airline,pilot,airline,6
,,,
school,boy,NA,NA
,,,
dragon,game,human,6
,,,
football,match,football,4
,,,
green,wreath,green,6
,,,
molasses,swamp,water,6
,,,
pink,rose,red,6
,,,
home,daddy,work,4
,,,
cutting,edge,sharp,3
,,,
purple,eye,brown,5
,,,
green,kitty,NA,NA
,,,
rail,ticket,bus,5
,,,
hay,cart,shopping,5
,,,
wooden,platter,plastic,5
,,,
round,spot,round,6
,,,
garden,furniture,indoor,6
,,,
bar,bell,door,5
,,,
worm,belly,ant,4
,,,
pastel,pink,standard,5
,,,
prawn,sandwich,turkey,5
,,,
cabbage,plant,fern,3
,,,
clock,tower,NA,NA
,,,
sleeping,policeman,awake,6
,,,
thick,player,NA,NA
,,,
dog,beach,human,5
,,,
fish,cracker,saltine,5
,,,
outside,tap,kitchen,5
,,,
bubble,gum,chewing,6
,,,
letter,tile,plain,5
,,,
purple,spaghetti,yellow,6
,,,
farmer,guy,office,3
,,,
cut,grass,uncut,6
,,,
croquet,stroke,swim,3
,,,
hay,cookie,wheat,6
,,,
green,ornament,silver,3
,,,
water,tower,cell,4
,,,
plant,pot,cooking,5
,,,
fat,roll,bread,5
,,,
brown,coconut,brown,6
,,,
purple,shoe,black,4
,,,
giant,boy,average,4
,,,
green,pepper,green,5
,,,
purple,tail,brown,5
,,,
ogre,lady,human,6
,,,
bow,colors,NA,NA
,,,
cross,bun,burger,5
,,,
red,punch,red,6
,,,
pink,heart,red,7
,,,
cat,scratching,itch,5
,,,
