adjective,noun,article,adj_article,llama_instruct_judgment
puppy,food,,,rarely
baby,heart,a,a,never
smiley,ball,a,a,almost always
gold,guy,a,a,always
varnish,stripper,a,a,about half the time
purple,square,a,a,rarely
red,phone,a,a,rarely
brown,pumpkin,a,a,rarely
flower,petal,a,a,always
instrument,panel,a,an,often
giant,saucer,a,a,never
face,painting,a,a,often
curve,piece,a,a,almost always
raisin,bun,a,a,rarely
milk,bar,a,a,often
pink,diamond,a,a,rarely
back,window,a,a,often
apple,green,,,often
outside,edge,an,an,often
string,puppet,a,a,almost always
green,tower,a,a,rarely
rolling,ball,a,a,almost always
rain,storm,a,a,about half the time
green,popsicle,a,a,sometimes
hot,pants,,,sometimes
light,lunch,a,a,often
light,ball,a,a,almost always
hammer,fork,a,a,rarely
farm,game,a,a,rarely
caterpillar,walking,,,rarely
wet,day,a,a,often
red,roof,a,a,sometimes
pink,collar,a,a,rarely
top,coat,a,a,always
bear,walking,,,always
flower,box,a,a,sometimes
kid,cartoon,a,a,often
yellow,paper,a,a,rarely
skating,girl,a,a,often
dead,brother,a,a,sometimes
lady,song,a,a,rarely
pink,ear,an,a,often
cookie,dough,,,rarely
light,green,,,often
edge,piece,a,an,about half the time
computer,scientist,a,a,rarely
orange,star,a,an,about half the time
farmer,lady,a,a,rarely
troll,bridge,a,a,never
fire,truck,a,a,rarely
slate,mine,a,a,rarely
brown,barn,a,a,often
gold,game,a,a,almost always
police,car,a,a,rarely
tan,lotion,,,never
rectangle,diamond,a,a,rarely
baby,basket,a,a,about half the time
broken,piece,a,a,often
thick,person,a,a,rarely
fish,book,a,a,never
purple,lollipop,a,a,sometimes
hot,pot,a,a,almost always
hall,servant,a,a,sometimes
crispy,piece,a,a,always
dictionary,writer,a,a,rarely
thick,sandwich,a,a,often
square,block,a,a,almost always
puppy,dog,a,a,often
farmer,truck,a,a,sometimes
yellow,baby,a,a,often
hot,plastic,,,almost always
hot,mommy,a,a,often
mud,puddle,a,a,sometimes
arcade,music,,,often
green,field,a,a,often
cocktail,side,a,a,never
telephone,box,a,a,about half the time
quarter,inch,an,a,never
coffee,cake,a,a,about half the time
picnic,meal,a,a,rarely
ice,tea,,,often
baby,spoon,a,a,about half the time
yellow,page,a,a,often
crystal,cave,a,a,almost always
light,wood,,,often
green,finger,a,a,rarely
block,building,a,a,sometimes
baby,doll,a,a,often
elephant,trumpeting,,,almost always
yellow,rain,,,never
yard,clipping,a,a,about half the time
back,garden,a,a,often
green,path,a,a,rarely
red,cutter,a,a,almost always
snow,ninja,a,a,sometimes
nose,guy,a,a,rarely
airplane,ride,a,an,almost always
fish,jump,a,a,often
green,overalls,,,almost always
stump,grinder,a,a,almost always
singing,mama,a,a,never
pink,clothes,,,often
dirty,hand,a,a,often
drum,stick,a,a,often
bear,cave,a,a,about half the time
green,pants,,,rarely
hot,bun,a,a,often
pink,satin,,,often
daddy,ear,an,a,often
varnish,paint,,,never
silver,car,a,a,often
giant,puzzle,a,a,often
red,pot,a,a,sometimes
guy,wizard,a,a,about half the time
red,door,a,a,sometimes
picture,frame,a,a,almost always
infant,teacher,a,an,rarely
lizard,mom,a,a,never
lion,dung,,,almost always
orange,nose,a,an,rarely
puzzle,pile,a,a,often
hot,fire,,,always
iron,sword,a,an,often
gold,map,a,a,about half the time
grandfather,clock,a,a,rarely
whisky,drop,a,a,often
paint,brush,a,a,often
solid,rain,,,sometimes
human,body,a,a,always
dead,plant,a,a,often
tea,cup,a,a,about half the time
dirty,blanket,a,a,sometimes
chip,machine,a,a,never
leopard,seal,a,a,often
baby,leaf,a,a,often
yellow,circle,a,a,rarely
food,chain,a,a,rarely
fire,exit,an,a,often
mutant,peacock,a,a,never
red,drum,a,a,rarely
yellow,parrot,a,a,never
dirty,plate,a,a,sometimes
round,track,a,a,rarely
slippery,sock,a,a,rarely
baby,dog,a,a,always
paw,print,a,a,never
red,towel,a,a,rarely
guy,robot,a,a,almost always
red,stripe,a,a,about half the time
dirty,pants,,,almost always
red,track,a,a,rarely
meteor,crater,a,a,often
carpet,shop,a,a,almost always
green,candy,,,sometimes
thorn,bush,a,a,almost always
hand,bag,a,a,often
yellow,line,a,a,often
green,frosting,,,rarely
square,pan,a,a,rarely
pointy,tree,a,a,never
purple,necklace,a,a,sometimes
cotton,candy,,,rarely
top,hat,a,a,often
potato,plant,a,a,sometimes
color,popsicle,a,a,always
red,hole,a,a,never
wall,clock,a,a,often
tea,pot,a,a,almost always
frog,toy,a,a,rarely
blooming,herb,a,a,often
bottom,shelf,a,a,often
cup,cake,a,a,sometimes
pink,brush,a,a,rarely
purple,boot,a,a,rarely
fruit,snack,a,a,often
brown,coffee,,,almost always
yellow,sleeve,a,a,rarely
umbrella,handle,a,an,never
purple,tower,a,a,rarely
hot,cocoa,,,almost always
animal,cracker,a,an,almost always
broken,bridge,a,a,almost always
kid,scissors,,,often
dog,book,a,a,rarely
furnishings,gift,a,a,rarely
man,face,a,a,about half the time
light,horse,a,a,often
phone,ring,a,a,often
red,top,a,a,almost always
kids,block,a,a,often
giant,mess,a,a,almost always
rolling,robot,a,a,often
elephant,eye,an,an,rarely
lounge,window,a,a,often
green,strawberry,a,a,rarely
oven,door,a,an,sometimes
dirty,girl,a,a,rarely
camera,man,a,a,sometimes
maple,syrup,,,often
pink,dinosaur,a,a,never
traffic,jam,,,almost always
mail,card,a,a,often
rope,ladder,a,a,almost always
broken,cracker,a,a,sometimes
wooden,button,a,a,rarely
flat,edge,an,a,often
kid,toy,a,a,almost always
milk,man,a,a,rarely
dancing,troop,a,a,rarely
sinus,infection,an,a,sometimes
back,yard,a,a,almost always
arm,pit,a,an,almost always
guy,talking,,,never
day,game,a,a,often
photo,album,an,a,often
outside,guy,a,an,about half the time
spaghetti,meatball,a,a,often
kitchen,sink,a,a,often
corner,piece,a,a,almost always
purple,octagon,an,a,rarely
diving,board,a,a,almost always
garden,worm,a,a,often
bright,star,a,a,almost always
patio,door,a,a,almost always
brown,eye,an,a,often
banana,bread,,,rarely
enamel,shell,a,an,often
furry,tummy,a,a,almost always
solar,eclipse,an,a,about half the time
purple,flower,a,a,sometimes
drop,curtain,a,a,almost always
bull,frog,a,a,sometimes
purple,purse,a,a,rarely
video,camera,a,a,almost always
orange,animal,an,an,rarely
rag,doll,a,a,often
yellow,sun,,,always
clothes,hamper,a,a,almost always
cookie,cutter,a,a,rarely
green,bow,a,a,rarely
plastic,card,a,a,always
giant,shoe,a,a,never
pink,pipe,a,a,rarely
orange,skittle,a,an,about half the time
head,louse,a,a,often
purple,candy,,,sometimes
orange,square,a,an,never
cooker,gas,,,always
locked,closet,a,a,never
red,ant,an,a,often
box,office,an,a,almost always
orange,frog,a,an,rarely
mop,head,a,a,never
puppy,doggy,a,a,often
tool,repair,a,a,often
color,page,a,a,sometimes
hip,bone,a,a,almost always
red,ladybug,a,a,often
red,wheel,a,a,sometimes
purple,bat,a,a,sometimes
cake,shop,a,a,rarely
picture,hook,a,a,often
crusty,roll,a,a,often
bright,tail,a,a,often
daddy,gorilla,a,a,often
ladies,toilet,a,a,often
gravel,pile,a,a,often
dog,stand,a,a,almost always
clock,piece,a,a,always
yellow,shirt,a,a,sometimes
velvety,horse,a,a,never
purple,cabbage,a,a,rarely
dirty,mouth,a,a,sometimes
top,trainer,a,a,rarely
birth,present,a,a,often
dark,sky,a,a,rarely
coffee,milk,,,rarely
baby,bounce,a,a,often
scar,scar,a,a,never
battery,drawer,a,a,rarely
circus,truck,a,a,rarely
room,table,a,a,almost always
boa,constrictor,a,a,almost always
car,transporter,a,a,often
bleeding,finger,a,a,rarely
human,head,a,a,always
ball,bounce,a,a,almost always
yellow,light,a,a,often
tree,trunk,a,a,often
ball,bearing,,,almost always
sweat,gland,a,a,almost always
call,line,a,a,never
bin,liner,a,a,always
red,brush,a,a,almost always
digger,truck,a,a,rarely
shovel,honey,,,never
cheese,pie,a,a,sometimes
night,spider,a,a,almost always
store,lady,a,a,often
teddy,bear,a,a,always
medication,honey,,,rarely
school,book,a,a,often
goldfish,day,a,a,always
toy,boy,a,a,never
pink,girl,a,a,about half the time
people,town,a,a,almost always
worm,soup,,,never
pink,worm,a,a,about half the time
egg,shell,a,an,almost always
baby,song,a,a,almost always
furry,face,a,a,often
brown,mountain,a,a,often
red,coloring,,,often
patio,barbecue,a,a,about half the time
blonde,hair,,,about half the time
top,lid,a,a,often
wooden,reel,a,a,sometimes
iron,leg,a,an,rarely
baby,crayon,a,a,never
train,line,a,a,often
birth,day,a,a,often
doctor,kit,a,a,sometimes
door,key,a,a,almost always
bus,fare,a,a,often
solid,piece,a,a,always
fish,soup,,,rarely
princess,bed,a,a,often
top,edge,an,a,often
turkey,sandwich,a,a,almost always
timer,switch,a,a,rarely
red,mouse,a,a,never
green,garbage,,,never
wet,bird,a,a,often
yellow,pepper,a,a,sometimes
dalmatian,dog,a,a,rarely
red,fence,a,a,rarely
daddy,pirate,a,a,often
brown,clump,a,a,often
red,airplane,an,a,rarely
military,police,,,never
red,orange,an,a,rarely
bear,hunt,a,a,about half the time
red,triangle,a,a,rarely
gas,station,a,a,about half the time
pink,flamingo,a,a,always
yellow,tree,a,a,rarely
satellite,dish,a,a,always
cigar,smoking,,,rarely
dance,music,,,often
candy,bar,a,a,almost always
egg,box,a,an,often
sand,box,a,a,often
pet,cage,a,a,often
yellow,coral,,,sometimes
dark,hair,,,sometimes
vegetable,oil,,,often
green,picture,a,a,rarely
green,baby,a,a,never
pant,leg,a,a,almost always
hedge,cutter,a,a,often
beef,hash,a,a,often
plastic,box,a,a,sometimes
green,nose,a,a,never
brown,sauce,,,often
yellow,coloring,,,often
hot,lunch,a,a,about half the time
fish,stall,a,a,always
wire,sandwich,a,a,never
bright,color,a,a,sometimes
bathroom,window,a,a,sometimes
hot,ride,a,a,often
tub,seat,a,a,almost always
draw,picture,a,a,sometimes
water,pipe,a,a,almost always
safari,hat,a,a,often
hot,seat,a,a,often
top,step,a,a,almost always
spider,ring,a,a,rarely
bottom,corner,a,a,sometimes
cotton,ball,a,a,about half the time
record,button,a,a,often
doll,baby,a,a,often
cat,product,a,a,almost always
rusty,bucket,a,a,often
gun,runner,a,a,rarely
washing,machine,a,a,often
naked,butt,a,a,almost always
cabbage,leaf,a,a,rarely
dirty,sock,a,a,sometimes
karate,chop,a,a,always
yard,tent,a,a,always
goat,boy,a,a,never
father,duck,a,a,rarely
pink,rattle,a,a,about half the time
witch,hair,,,about half the time
crane,station,a,a,never
toy,store,a,a,rarely
dark,ball,a,a,sometimes
pink,corner,a,a,never
truck,piece,a,a,rarely
red,jumper,a,a,sometimes
pink,dot,a,a,rarely
money,card,a,a,never
teapot,water,,,often
chocolate,cake,a,a,sometimes
person,game,a,a,always
sea,urchin,an,a,almost always
red,broccoli,,,never
bus,ticket,a,a,sometimes
rock,pool,a,a,almost always
red,dragon,a,a,often
movie,camera,a,a,rarely
flat,mouth,a,a,often
salmon,leaping,a,a,almost always
outside,person,a,an,almost always
tin,tray,a,a,often
hand,glove,a,a,almost always
scout,group,a,a,almost always
guy,beard,a,a,never
silver,beard,a,a,sometimes
smoke,stack,a,a,almost always
rain,glasses,,,never
zucchini,plant,a,a,often
purple,bud,a,a,about half the time
cash,till,a,a,almost always
pink,dragon,a,a,almost always
girl,case,a,a,often
orange,cutter,a,an,never
kitchen,door,a,a,sometimes
pear,skin,,,always
dirty,hamper,a,a,often
orange,sunset,a,an,often
hot,wood,,,almost always
dirty,penny,a,a,often
dirty,cup,a,a,sometimes
apple,oatmeal,,,about half the time
olive,green,,,almost always
pear,juice,,,rarely
water,spout,a,a,often
bacon,crisp,a,a,often
knife,edge,an,a,about half the time
green,crunch,a,a,sometimes
doggy,bone,a,a,almost always
yellow,eye,an,a,often
yellow,apple,an,a,sometimes
farm,channel,a,a,rarely
boy,seat,a,a,never
machine,chap,a,a,often
eye,ball,a,an,never
thick,branch,a,a,often
sunny,path,a,a,often
back,step,a,a,almost always
brown,tail,a,a,often
gravel,border,a,a,often
pink,tights,,,often
store,room,a,a,often
frog,outfit,an,a,rarely
yellow,hay,,,often
red,strawberry,a,a,often
dead,turtle,a,a,sometimes
inch,square,a,an,always
shell,suit,a,a,often
honey,doll,a,a,rarely
ceiling,rose,a,a,always
baby,meat,,,rarely
flat,surface,a,a,almost always
fat,head,a,a,almost always
circus,officer,an,a,rarely
sweet,baby,a,a,almost always
purple,grape,a,a,often
pencil,eraser,an,a,always
tie,back,a,a,rarely
massage,table,a,a,almost always
orange,leaf,a,an,sometimes
sand,sheep,a,a,rarely
red,side,a,a,never
red,caboose,a,a,almost always
pink,window,a,a,rarely
sweet,pea,a,a,sometimes
orange,angelfish,an,an,rarely
cork,tile,a,a,never
bleeding,head,a,a,never
brown,fur,,,often
mommy,elephant,an,a,almost always
daddy,glasses,,,rarely
round,tree,a,a,rarely
red,bear,a,a,rarely
laundry,basket,a,a,often
egg,white,,,almost always
peacock,body,a,a,sometimes
green,plant,a,a,almost always
dead,worm,a,a,sometimes
dog,food,,,rarely
wine,sherry,,,almost always
swimming,guy,a,a,rarely
sign,gate,a,a,always
animal,magazine,a,an,never
furry,fuzzy,a,a,always
dinosaur,hunt,a,a,almost always
food,shopping,,,often
draw,bridge,a,a,often
bath,door,a,a,sometimes
triangle,piece,a,a,rarely
baby,brother,a,a,about half the time
purple,boxcar,a,a,rarely
broken,arm,an,a,sometimes
sickle,cell,a,a,sometimes
snow,boot,a,a,often
orange,heart,a,an,never
hot,chicken,a,a,rarely
ash,tray,a,an,rarely
radio,cassette,a,a,always
gold,reindeer,a,a,never
unbuttoned,jacket,a,an,always
cigar,box,a,a,often
frozen,water,,,always
red,fruit,a,a,sometimes
yellow,drum,a,a,rarely
lighter,hair,,,often
mashed,potato,a,a,sometimes
oat,porridge,,,almost always
festival,company,a,a,rarely
flat,piece,a,a,almost always
college,downtown,a,a,often
pony,tail,a,a,rarely
giant,thorn,a,a,rarely
sunny,spot,a,a,often
orange,pants,,,rarely
vanilla,chocolate,,,never
cheese,pizza,,,often
circus,animal,an,a,rarely
plastic,circle,a,a,rarely
chicken,dance,a,a,often
chicken,finger,a,a,never
green,piece,a,a,never
green,salad,a,a,about half the time
brown,grey,,,sometimes
tea,bag,a,a,often
top,floor,a,a,sometimes
dinosaur,movie,a,a,sometimes
pink,lollypop,a,a,rarely
fish,food,,,almost always
night,shirt,a,a,almost always
puppy,mom,a,a,rarely
purple,sand,,,never
yellow,train,a,a,rarely
pepperoni,pizza,,,often
yellow,leaf,a,a,often
mommy,deer,a,a,almost always
ear,plug,a,an,almost always
bird,box,a,a,sometimes
back,bedroom,a,a,sometimes
food,pea,a,a,always
adult,alligator,an,an,always
broken,foot,a,a,rarely
soccer,player,a,a,almost always
garbage,feast,a,a,never
red,cake,a,a,rarely
wet,soaking,a,a,almost always
bear,boob,a,a,never
dam,bush,a,a,never
dead,guy,a,a,often
face,pumpkin,a,a,almost always
primrose,oil,,,rarely
top,bunk,a,a,often
red,popsicle,a,a,almost always
daddy,tape,a,a,never
land,horse,a,a,always
dog,collar,a,a,almost always
turtle,tank,a,a,rarely
yellow,key,a,a,rarely
night,light,a,a,often
book,honey,,,rarely
top,gear,a,a,always
pink,bird,a,a,rarely
alloy,wheel,a,an,often
brown,leaf,a,a,about half the time
test,barometer,a,a,always
baby,book,a,a,rarely
plum,pudding,,,about half the time
press,record,a,a,almost always
green,apple,an,a,about half the time
workshop,downtown,a,a,always
boy,voice,a,a,often
dirty,fox,a,a,about half the time
property,market,a,a,often
washing,powder,,,always
block,cheese,,,sometimes
pink,tube,a,a,almost always
train,fare,a,a,always
dead,obituary,an,a,always
snow,man,a,a,never
farmer,overalls,,,almost always
roast,beef,,,almost always
ironing,board,a,an,about half the time
broken,string,a,a,almost always
wine,glasses,,,sometimes
birth,date,a,a,almost always
bottom,one,a,a,never
spider,monkey,a,a,never
farm,puppet,a,a,rarely
wash,room,a,a,always
red,ball,a,a,rarely
dust,wagon,a,a,never
gold,fish,a,a,sometimes
burnt,finger,a,a,rarely
horse,box,a,a,rarely
mummy,shout,a,a,almost always
velcro,latch,a,a,sometimes
curb,stone,a,a,almost always
batter,box,a,a,sometimes
trash,call,a,a,rarely
brown,patch,a,a,about half the time
dust,ball,a,a,about half the time
toy,bus,a,a,often
ginger,man,a,a,rarely
wood,sculpture,a,a,sometimes
red,bug,a,a,rarely
baby,chair,a,a,never
brick,fireplace,a,a,always
candy,piece,a,a,often
turkey,leg,a,a,always
red,bucket,a,a,sometimes
pencil,box,a,a,often
fat,fryer,a,a,often
band,man,a,a,often
spray,bottle,a,a,rarely
unbuttoned,pants,,,often
dirty,mama,a,a,never
hot,curry,a,a,almost always
red,piranha,a,a,often
bear,family,a,a,almost always
daddy,face,a,a,never
yogurt,pudding,,,about half the time
diaper,check,a,a,about half the time
mud,truck,a,a,often
fish,shop,a,a,rarely
mountain,bike,a,a,rarely
exit,sign,a,an,almost always
purple,food,,,rarely
baby,cub,a,a,almost always
food,restaurant,a,a,always
bath,tub,a,a,often
baseball,game,a,a,almost always
treasure,chest,a,a,rarely
red,bird,a,a,sometimes
sweet,gift,a,a,sometimes
yellow,piece,a,a,sometimes
dirty,piggy,a,a,almost always
hot,soup,,,almost always
yellow,flower,a,a,sometimes
plastic,heron,a,a,rarely
dark,bikini,a,a,often
garbage,collector,a,a,almost always
hot,flaming,,,almost always
light,hair,,,almost always
back,corner,a,a,sometimes
green,stripe,a,a,rarely
slippery,ice,,,almost always
fat,boy,a,a,rarely
taller,bed,a,a,rarely
color,paper,a,a,sometimes
bubble,container,a,a,sometimes
tan,wig,a,a,rarely
red,gecko,a,a,sometimes
red,puppy,a,a,rarely
brown,ant,an,a,often
sweet,onion,an,a,sometimes
baby,worm,a,a,always
water,swim,a,a,almost always
fat,worm,a,a,sometimes
intercom,beep,a,an,often
alarm,clock,a,an,almost always
color,paint,,,almost always
cotton,shirt,a,a,often
hot,tot,a,a,about half the time
cauliflower,pea,a,a,never
hot,wash,a,a,often
ostrich,egg,an,an,rarely
silver,green,,,never
board,tile,a,a,always
pink,violet,a,a,often
dirty,nose,a,a,about half the time
ant,path,a,an,rarely
pumpkin,head,a,a,rarely
quarter,teaspoon,a,a,rarely
bright,paper,a,a,almost always
heart,beat,a,a,almost always
red,road,a,a,never
hot,onion,an,a,rarely
orange,bead,a,an,rarely
shaking,ball,a,a,rarely
orange,dinosaur,a,an,never
daddy,bird,a,a,often
green,marker,a,a,rarely
daddy,rooster,a,a,rarely
kitchen,table,a,a,often
mackerel,fishing,,,rarely
green,pig,a,a,rarely
top,tap,a,a,about half the time
pumpkin,farm,a,a,rarely
orange,tummy,a,an,rarely
red,button,a,a,often
yellow,bowl,a,a,rarely
bottom,oven,an,a,rarely
blowing,wind,,,always
tiger,picture,a,a,rarely
street,sweeper,a,a,almost always
entrance,door,a,an,almost always
water,table,a,a,never
rocket,shot,a,a,often
beef,sandwich,a,a,sometimes
detective,show,a,a,rarely
pumpkin,pie,a,a,sometimes
green,moose,a,a,never
orange,cat,a,an,rarely
yellow,tongue,a,a,rarely
purple,top,a,a,rarely
salmon,salad,a,a,rarely
purple,captain,a,a,rarely
bright,pink,,,often
clown,hair,,,rarely
report,card,a,a,almost always
rainy,day,a,a,rarely
airline,pilot,a,an,about half the time
school,boy,a,a,often
dragon,game,a,a,rarely
football,match,a,a,almost always
green,wreath,a,a,almost always
molasses,swamp,a,a,never
pink,rose,a,a,often
home,daddy,a,a,rarely
cutting,edge,an,a,rarely
purple,eye,an,a,never
green,kitty,a,a,never
rail,ticket,a,a,often
hay,cart,a,a,often
wooden,platter,a,a,never
round,spot,a,a,almost always
garden,furniture,,,rarely
bar,bell,a,a,almost always
worm,belly,a,a,almost always
pastel,pink,,,always
prawn,sandwich,a,a,sometimes
cabbage,plant,a,a,rarely
clock,tower,a,a,often
sleeping,policeman,a,a,always
thick,player,a,a,never
dog,beach,a,a,rarely
fish,cracker,a,a,rarely
outside,tap,a,an,rarely
bubble,gum,a,a,often
letter,tile,a,a,always
purple,spaghetti,,,never
farmer,guy,a,a,about half the time
cut,grass,,,often
croquet,stroke,a,a,rarely
hay,cookie,a,a,never
green,ornament,an,a,rarely
water,tower,a,a,often
plant,pot,a,a,often
fat,roll,a,a,almost always
brown,coconut,a,a,almost always
purple,shoe,a,a,sometimes
giant,boy,a,a,never
green,pepper,a,a,almost always
purple,tail,a,a,never
ogre,lady,a,an,never
bow,colors,a,a,never
cross,bun,a,a,often
red,punch,a,a,almost always
pink,heart,a,a,never
cat,scratching,,,always
peppermint,candy,,,about half the time
dirty,baby,a,a,about half the time
brown,mud,,,almost always
food,board,a,a,rarely
slot,machine,a,a,sometimes
yellow,door,a,a,rarely
dirty,diaper,a,a,almost always
roast,potato,a,a,often
red,handle,a,a,rarely
water,drip,a,a,almost always
puppet,show,a,a,rarely
yellow,bucket,a,a,almost always
yellow,banana,a,a,almost always
pink,tutu,a,a,often
solar,battery,a,a,rarely
ice,cream,,,always
sugar,dough,,,rarely
barbecue,recipe,a,a,sometimes
orange,flag,a,an,rarely
bunny,sleep,,,always
box,toy,a,a,rarely
dirt,road,a,a,rarely
orange,dot,a,an,almost always
tape,player,a,a,never
broken,egg,an,a,never
daddy,foot,a,a,never
mommy,chin,a,a,almost always
green,coat,a,a,sometimes
night,moon,a,a,always
brown,suite,a,a,often
giant,committee,a,a,always
sweet,honey,,,almost always
school,room,a,a,sometimes
giant,skyscraper,a,a,often
trash,book,a,a,rarely
top,row,a,a,almost always
pink,coat,a,a,rarely
mud,pile,a,a,often
mommy,worm,a,a,sometimes
farm,cat,a,a,rarely
crayon,pile,a,a,rarely
green,melon,a,a,always
aloe,plant,a,an,rarely
icy,coast,a,an,about half the time
refrigerator,door,a,a,never
baby,pig,a,a,almost always
fire,grate,a,a,always
yellow,flag,a,a,almost always
baby,wipe,a,a,always
engine,train,a,an,always
fuzzy,peach,a,a,always
dirty,straw,a,a,rarely
bleach,water,,,never
fishing,pole,a,a,often
snow,shovel,a,a,sometimes
oven,top,a,an,often
yellow,reindeer,a,a,rarely
red,man,a,a,rarely
girl,doctor,a,a,sometimes
fat,doctor,a,a,rarely
brain,rot,,,rarely
red,hand,a,a,rarely
fat,face,a,a,always
knee,joint,a,a,never
food,processor,a,a,rarely
committee,report,a,a,often
dirty,one,a,a,rarely
green,hoop,a,a,rarely
wet,washing,,,almost always
top,oven,an,a,almost always
strawberry,juice,,,rarely
cheddar,cracker,a,a,often
slipper,sock,a,a,often
capital,letter,a,a,almost always
ground,almond,an,a,rarely
vanilla,pudding,,,often
shower,tray,a,a,almost always
tracksuit,bottom,a,a,almost always
dirty,park,a,a,sometimes
green,door,a,a,rarely
sweet,boy,a,a,almost always
red,reindeer,a,a,never
red,train,a,a,rarely
broken,leg,a,a,almost always
brown,gravy,,,almost always
smoke,salmon,,,rarely
cigarette,carton,a,a,often
brass,drum,a,a,never
baby,booty,a,a,almost always
dirty,shirt,a,a,almost always
purple,triangle,a,a,rarely
bright,moonlight,,,often
icecream,scoop,a,an,almost always
sliced,cheese,,,about half the time
sweet,cocoa,,,almost always
van,window,a,a,rarely
bunny,clothes,,,never
orange,tail,a,an,rarely
bead,string,a,a,never
mirror,piece,a,a,sometimes
yellow,guy,a,a,always
food,bowl,a,a,often
red,foot,a,a,sometimes
bird,nest,a,a,often
color,clothes,,,almost always
elephant,puzzle,a,an,never
window,frame,a,a,always
pink,snail,a,a,rarely
blind,mom,a,a,rarely
teddy,workshop,a,a,never
rabbit,stew,a,a,rarely
purple,horn,a,a,rarely
puzzle,book,a,a,often
farm,animal,an,a,about half the time
tiger,baby,a,a,never
wet,whisker,a,a,rarely
tube,company,a,a,almost always
steel,worker,a,a,rarely
yellow,brush,a,a,almost always
orange,leg,a,an,rarely
green,spider,a,a,rarely
jump,rope,a,a,often
bright,beak,a,a,sometimes
brown,path,a,a,sometimes
naked,person,a,a,almost always
furry,bear,a,a,almost always
green,cactus,a,a,always
soldier,crab,a,a,often
purple,turtle,a,a,never
plastic,metal,,,never
juicy,meat,a,a,almost always
yellow,rake,a,a,rarely
pink,pig,a,a,almost always
mama,elephant,an,a,almost always
baby,sock,a,a,rarely
green,shell,a,a,sometimes
room,clock,a,a,often
fish,skeleton,a,a,almost always
mutton,head,a,a,rarely
strawberry,color,a,a,rarely
chicken,coop,a,a,almost always
curtain,ring,a,a,always
manor,ground,,,almost always
hill,riding,,,never
paddle,wheel,a,a,rarely
country,mouse,a,a,never
purple,saber,a,a,never
red,kite,a,a,sometimes
baby,monkey,a,a,sometimes
rubber,book,a,a,never
sun,block,a,a,always
mantel,fire,,,never
porcelain,doll,a,a,rarely
cut,dude,a,a,often
quarter,moon,a,a,sometimes
pink,pickle,a,a,rarely
silver,packet,a,a,rarely
bear,cub,a,a,always
broken,tv,a,a,never
poison,apple,an,a,rarely
stroller,baby,a,a,often
solid,path,a,a,almost always
top,penthouse,a,a,always
red,planet,a,a,never
cookie,day,a,a,sometimes
noodle,soup,,,sometimes
television,actress,an,a,almost always
solid,line,a,a,almost always
baby,raccoon,a,a,sometimes
frame,chip,a,a,often
bright,punch,a,a,always
yellow,saddle,a,a,rarely
mommy,doggie,a,a,sometimes
cinnamon,roll,a,a,almost always
foot,ball,a,a,often
puzzle,maker,a,a,sometimes
purple,teddy,a,a,rarely
room,slipper,a,a,almost always
wood,cylinder,a,a,rarely
pink,scooter,a,a,sometimes
manual,gear,a,a,often
concrete,floor,a,a,often
yellow,mouth,a,a,rarely
plant,debris,,,almost always
shield,brooch,a,a,rarely
outside,soccer,,,almost always
upstairs,sleeping,,,always
ladybug,toy,a,a,almost always
tonic,glass,a,a,almost always
fish,pie,a,a,rarely
purple,bug,a,a,rarely
red,jacket,a,a,rarely
flower,piece,a,a,rarely
tissue,paper,a,a,often
city,mouse,a,a,almost always
dark,shadow,a,a,almost always
green,toy,a,a,sometimes
wet,bucket,a,a,often
sister,game,a,a,rarely
bottom,hair,,,almost always
frog,book,a,a,never
juicy,worm,a,a,often
diving,dummy,a,a,almost always
purple,flag,a,a,rarely
snow,tiger,a,a,almost always
dark,tunnel,a,a,almost always
umbrella,tree,a,an,always
fuzzy,bone,a,a,never
glass,slipper,a,a,never
dinosaur,hunter,a,a,rarely
shop,book,a,a,never
sister,church,a,a,rarely
color,block,a,a,always
baby,person,a,a,sometimes
dark,chap,a,a,rarely
green,bone,a,a,never
ocean,world,a,an,almost always
wet,man,a,a,always
purple,guy,a,a,never
broken,pen,a,a,rarely
solid,hedge,a,a,rarely
green,bag,a,a,rarely
fish,hook,a,a,almost always
yellow,glasses,,,rarely
sea,horse,a,a,always
wooden,table,a,a,often
yellow,sheet,a,a,rarely
jet,engine,an,a,rarely
night,star,a,a,often
color,grey,,,almost always
country,lane,a,a,often
orange,rock,a,an,rarely
bank,account,an,a,often
train,table,a,a,never
dead,dad,a,a,rarely
group,secretary,a,a,never
basket,game,a,a,never
yellow,girl,a,a,never
mucus,sack,a,a,rarely
dirty,tank,a,a,often
brown,bag,a,a,often
marble,hearth,a,a,rarely
box,cooler,a,a,almost always
movie,puppet,a,a,almost always
cigarette,smoke,,,often
dinosaur,leg,a,a,almost always
green,glove,a,a,rarely
baby,nose,a,a,almost always
dead,battery,a,a,never
car,mat,a,a,often
dead,ant,an,a,about half the time
lemon,chicken,a,a,never
giant,bomb,a,a,almost always
round,cracker,a,a,sometimes
brown,person,a,a,almost always
library,ticket,a,a,often
lobster,pot,a,a,almost always
brown,writing,,,almost always
round,scissors,,,never
red,tape,a,a,often
bunny,ear,an,a,never
baby,rabbit,a,a,often
school,report,a,a,always
red,puck,a,a,rarely
green,uniform,a,a,rarely
top,line,a,a,never
wax,coat,a,a,rarely
rocky,truck,a,a,sometimes
yellow,hand,a,a,rarely
