adjective,noun,article,adj_article,llama_405b_instruct_judgment
water,fountain,a,a,almost always
office,chair,a,an,almost always
foot,pool,a,a,rarely
yellow,tube,a,a,rarely
yellow,knight,a,a,rarely
day,pastor,a,a,always
whale,squirt,a,a,about half the time
pink,paint,,,rarely
cookie,sandwich,a,a,rarely
giant,truck,a,a,rarely
flower,bed,a,a,rarely
yellow,wheel,a,a,never
dark,side,a,a,rarely
gold,balloon,a,a,rarely
lemon,soda,,,rarely
purple,stage,a,a,rarely
cream,cake,a,a,sometimes
puppy,food,,,never
baby,heart,a,a,never
smiley,ball,a,a,rarely
gold,guy,a,a,never
varnish,stripper,a,a,never
purple,square,a,a,rarely
red,phone,a,a,rarely
brown,pumpkin,a,a,rarely
flower,petal,a,a,almost always
instrument,panel,a,an,almost always
giant,saucer,a,a,never
face,painting,a,a,rarely
curve,piece,a,a,never
raisin,bun,a,a,rarely
milk,bar,a,a,rarely
pink,diamond,a,a,rarely
back,window,a,a,sometimes
apple,green,,,sometimes
outside,edge,an,an,often
string,puppet,a,a,sometimes
green,tower,a,a,sometimes
rolling,ball,a,a,often
rain,storm,a,a,almost always
green,popsicle,a,a,never
hot,pants,,,never
light,lunch,a,a,never
light,ball,a,a,about half the time
hammer,fork,a,a,never
farm,game,a,a,sometimes
caterpillar,walking,,,always
wet,day,a,a,almost always
red,roof,a,a,rarely
pink,collar,a,a,rarely
top,coat,a,a,about half the time
bear,walking,,,never
flower,box,a,a,rarely
kid,cartoon,a,a,often
yellow,paper,a,a,rarely
skating,girl,a,a,sometimes
dead,brother,a,a,sometimes
lady,song,a,a,rarely
pink,ear,an,a,almost always
cookie,dough,,,often
light,green,,,often
edge,piece,a,an,often
computer,scientist,a,a,rarely
orange,star,a,an,sometimes
farmer,lady,a,a,rarely
troll,bridge,a,a,never
fire,truck,a,a,about half the time
slate,mine,a,a,about half the time
brown,barn,a,a,almost always
gold,game,a,a,rarely
police,car,a,a,never
tan,lotion,,,often
rectangle,diamond,a,a,always
baby,basket,a,a,rarely
broken,piece,a,a,sometimes
thick,person,a,a,rarely
fish,book,a,a,rarely
purple,lollipop,a,a,rarely
hot,pot,a,a,sometimes
hall,servant,a,a,sometimes
crispy,piece,a,a,almost always
dictionary,writer,a,a,rarely
thick,sandwich,a,a,often
square,block,a,a,sometimes
puppy,dog,a,a,rarely
farmer,truck,a,a,rarely
yellow,baby,a,a,always
hot,plastic,,,almost always
hot,mommy,a,a,sometimes
mud,puddle,a,a,about half the time
arcade,music,,,never
green,field,a,a,often
cocktail,side,a,a,sometimes
telephone,box,a,a,sometimes
quarter,inch,an,a,rarely
coffee,cake,a,a,rarely
picnic,meal,a,a,rarely
ice,tea,,,often
baby,spoon,a,a,rarely
yellow,page,a,a,rarely
crystal,cave,a,a,rarely
light,wood,,,about half the time
green,finger,a,a,always
block,building,a,a,rarely
baby,doll,a,a,often
elephant,trumpeting,,,often
yellow,rain,,,never
yard,clipping,a,a,almost always
back,garden,a,a,almost always
green,path,a,a,almost always
red,cutter,a,a,never
snow,ninja,a,a,rarely
nose,guy,a,a,rarely
airplane,ride,a,an,almost always
fish,jump,a,a,rarely
green,overalls,,,rarely
stump,grinder,a,a,rarely
singing,mama,a,a,rarely
pink,clothes,,,rarely
dirty,hand,a,a,sometimes
drum,stick,a,a,rarely
bear,cave,a,a,rarely
green,pants,,,rarely
hot,bun,a,a,rarely
pink,satin,,,never
daddy,ear,an,a,never
varnish,paint,,,rarely
silver,car,a,a,sometimes
giant,puzzle,a,a,rarely
red,pot,a,a,rarely
guy,wizard,a,a,almost always
red,door,a,a,rarely
picture,frame,a,a,almost always
infant,teacher,a,an,always
lizard,mom,a,a,never
lion,dung,,,never
orange,nose,a,an,never
puzzle,pile,a,a,about half the time
hot,fire,,,almost always
iron,sword,a,an,about half the time
gold,map,a,a,almost always
grandfather,clock,a,a,rarely
whisky,drop,a,a,rarely
paint,brush,a,a,almost always
solid,rain,,,often
human,body,a,a,often
dead,plant,a,a,never
tea,cup,a,a,often
dirty,blanket,a,a,sometimes
chip,machine,a,a,never
leopard,seal,a,a,rarely
baby,leaf,a,a,sometimes
yellow,circle,a,a,rarely
food,chain,a,a,rarely
fire,exit,an,a,almost always
mutant,peacock,a,a,rarely
red,drum,a,a,about half the time
yellow,parrot,a,a,sometimes
dirty,plate,a,a,sometimes
round,track,a,a,almost always
slippery,sock,a,a,rarely
baby,dog,a,a,rarely
paw,print,a,a,about half the time
red,towel,a,a,sometimes
guy,robot,a,a,rarely
red,stripe,a,a,never
dirty,pants,,,about half the time
red,track,a,a,always
meteor,crater,a,a,almost always
carpet,shop,a,a,rarely
green,candy,,,sometimes
thorn,bush,a,a,rarely
hand,bag,a,a,often
yellow,line,a,a,never
green,frosting,,,rarely
square,pan,a,a,often
pointy,tree,a,a,almost always
purple,necklace,a,a,rarely
cotton,candy,,,rarely
top,hat,a,a,rarely
potato,plant,a,a,about half the time
color,popsicle,a,a,almost always
red,hole,a,a,never
wall,clock,a,a,often
tea,pot,a,a,sometimes
frog,toy,a,a,rarely
blooming,herb,a,a,often
bottom,shelf,a,a,sometimes
cup,cake,a,a,sometimes
pink,brush,a,a,rarely
purple,boot,a,a,never
fruit,snack,a,a,about half the time
brown,coffee,,,almost always
yellow,sleeve,a,a,sometimes
umbrella,handle,a,an,almost always
purple,tower,a,a,rarely
hot,cocoa,,,sometimes
animal,cracker,a,an,often
broken,bridge,a,a,rarely
kid,scissors,,,rarely
dog,book,a,a,rarely
furnishings,gift,a,a,rarely
man,face,a,a,almost always
light,horse,a,a,about half the time
phone,ring,a,a,sometimes
red,top,a,a,always
kids,block,a,a,never
giant,mess,a,a,sometimes
rolling,robot,a,a,almost always
elephant,eye,an,an,rarely
lounge,window,a,a,almost always
green,strawberry,a,a,rarely
oven,door,a,an,rarely
dirty,girl,a,a,rarely
camera,man,a,a,rarely
maple,syrup,,,rarely
pink,dinosaur,a,a,never
traffic,jam,,,almost always
mail,card,a,a,rarely
rope,ladder,a,a,rarely
broken,cracker,a,a,sometimes
wooden,button,a,a,rarely
flat,edge,an,a,never
kid,toy,a,a,almost always
milk,man,a,a,rarely
dancing,troop,a,a,almost always
sinus,infection,an,a,sometimes
back,yard,a,a,almost always
arm,pit,a,an,always
guy,talking,,,about half the time
day,game,a,a,sometimes
photo,album,an,a,always
outside,guy,a,an,almost always
spaghetti,meatball,a,a,almost always
kitchen,sink,a,a,almost always
corner,piece,a,a,never
purple,octagon,an,a,never
diving,board,a,a,always
garden,worm,a,a,about half the time
bright,star,a,a,rarely
patio,door,a,a,rarely
brown,eye,an,a,often
banana,bread,,,rarely
enamel,shell,a,an,almost always
furry,tummy,a,a,almost always
solar,eclipse,an,a,rarely
purple,flower,a,a,sometimes
drop,curtain,a,a,rarely
bull,frog,a,a,rarely
purple,purse,a,a,rarely
video,camera,a,a,about half the time
orange,animal,an,an,rarely
rag,doll,a,a,almost always
yellow,sun,,,always
clothes,hamper,a,a,almost always
cookie,cutter,a,a,almost always
green,bow,a,a,rarely
plastic,card,a,a,almost always
giant,shoe,a,a,never
pink,pipe,a,a,never
orange,skittle,a,an,sometimes
head,louse,a,a,almost always
purple,candy,,,rarely
orange,square,a,an,never
cooker,gas,,,often
locked,closet,a,a,rarely
red,ant,an,a,often
box,office,an,a,always
orange,frog,a,an,rarely
mop,head,a,a,often
puppy,doggy,a,a,almost always
tool,repair,a,a,about half the time
color,page,a,a,rarely
hip,bone,a,a,almost always
red,ladybug,a,a,almost always
red,wheel,a,a,never
purple,bat,a,a,never
cake,shop,a,a,rarely
picture,hook,a,a,almost always
crusty,roll,a,a,often
bright,tail,a,a,sometimes
daddy,gorilla,a,a,almost always
ladies,toilet,a,a,about half the time
gravel,pile,a,a,sometimes
dog,stand,a,a,rarely
clock,piece,a,a,rarely
yellow,shirt,a,a,rarely
velvety,horse,a,a,rarely
purple,cabbage,a,a,rarely
dirty,mouth,a,a,sometimes
top,trainer,a,a,never
birth,present,a,a,rarely
dark,sky,a,a,sometimes
coffee,milk,,,rarely
baby,bounce,a,a,rarely
scar,scar,a,a,always
battery,drawer,a,a,never
circus,truck,a,a,rarely
room,table,a,a,often
boa,constrictor,a,a,sometimes
car,transporter,a,a,always
bleeding,finger,a,a,rarely
human,head,a,a,always
ball,bounce,a,a,almost always
yellow,light,a,a,often
tree,trunk,a,a,about half the time
ball,bearing,,,almost always
sweat,gland,a,a,often
call,line,a,a,almost always
bin,liner,a,a,almost always
red,brush,a,a,rarely
digger,truck,a,a,rarely
shovel,honey,,,never
cheese,pie,a,a,never
night,spider,a,a,about half the time
store,lady,a,a,always
teddy,bear,a,a,almost always
medication,honey,,,rarely
school,book,a,a,sometimes
goldfish,day,a,a,never
toy,boy,a,a,rarely
pink,girl,a,a,often
people,town,a,a,always
worm,soup,,,rarely
pink,worm,a,a,never
egg,shell,a,an,often
baby,song,a,a,never
furry,face,a,a,almost always
brown,mountain,a,a,almost always
red,coloring,,,always
patio,barbecue,a,a,often
blonde,hair,,,rarely
top,lid,a,a,rarely
wooden,reel,a,a,rarely
iron,leg,a,an,often
baby,crayon,a,a,rarely
train,line,a,a,rarely
birth,day,a,a,always
doctor,kit,a,a,sometimes
door,key,a,a,about half the time
bus,fare,a,a,almost always
solid,piece,a,a,almost always
fish,soup,,,rarely
princess,bed,a,a,rarely
top,edge,an,a,about half the time
turkey,sandwich,a,a,sometimes
timer,switch,a,a,rarely
red,mouse,a,a,rarely
green,garbage,,,rarely
wet,bird,a,a,rarely
yellow,pepper,a,a,rarely
dalmatian,dog,a,a,rarely
red,fence,a,a,rarely
daddy,pirate,a,a,rarely
brown,clump,a,a,sometimes
red,airplane,an,a,rarely
military,police,,,never
red,orange,an,a,rarely
bear,hunt,a,a,almost always
red,triangle,a,a,never
gas,station,a,a,almost always
pink,flamingo,a,a,almost always
yellow,tree,a,a,rarely
satellite,dish,a,a,almost always
cigar,smoking,,,rarely
dance,music,,,often
candy,bar,a,a,almost always
egg,box,a,an,always
sand,box,a,a,never
pet,cage,a,a,often
yellow,coral,,,sometimes
dark,hair,,,almost always
vegetable,oil,,,often
green,picture,a,a,rarely
green,baby,a,a,never
pant,leg,a,a,often
hedge,cutter,a,a,sometimes
beef,hash,a,a,often
plastic,box,a,a,often
green,nose,a,a,rarely
brown,sauce,,,almost always
yellow,coloring,,,rarely
hot,lunch,a,a,about half the time
fish,stall,a,a,never
wire,sandwich,a,a,never
bright,color,a,a,sometimes
bathroom,window,a,a,always
hot,ride,a,a,sometimes
tub,seat,a,a,rarely
draw,picture,a,a,sometimes
water,pipe,a,a,often
safari,hat,a,a,rarely
hot,seat,a,a,rarely
top,step,a,a,about half the time
spider,ring,a,a,rarely
bottom,corner,a,a,almost always
cotton,ball,a,a,never
record,button,a,a,rarely
doll,baby,a,a,never
cat,product,a,a,rarely
rusty,bucket,a,a,rarely
gun,runner,a,a,rarely
washing,machine,a,a,rarely
naked,butt,a,a,rarely
cabbage,leaf,a,a,about half the time
dirty,sock,a,a,almost always
karate,chop,a,a,often
yard,tent,a,a,often
goat,boy,a,a,never
father,duck,a,a,always
pink,rattle,a,a,rarely
witch,hair,,,rarely
crane,station,a,a,often
toy,store,a,a,rarely
dark,ball,a,a,never
pink,corner,a,a,never
truck,piece,a,a,rarely
red,jumper,a,a,rarely
pink,dot,a,a,sometimes
money,card,a,a,rarely
teapot,water,,,rarely
chocolate,cake,a,a,rarely
person,game,a,a,always
sea,urchin,an,a,almost always
red,broccoli,,,rarely
bus,ticket,a,a,often
rock,pool,a,a,often
red,dragon,a,a,almost always
movie,camera,a,a,rarely
flat,mouth,a,a,rarely
salmon,leaping,a,a,almost always
outside,person,a,an,sometimes
tin,tray,a,a,about half the time
hand,glove,a,a,always
scout,group,a,a,rarely
guy,beard,a,a,always
silver,beard,a,a,rarely
smoke,stack,a,a,always
rain,glasses,,,never
zucchini,plant,a,a,rarely
purple,bud,a,a,never
cash,till,a,a,always
pink,dragon,a,a,never
girl,case,a,a,rarely
orange,cutter,a,an,often
kitchen,door,a,a,rarely
pear,skin,,,rarely
dirty,hamper,a,a,almost always
orange,sunset,a,an,often
hot,wood,,,rarely
dirty,penny,a,a,always
dirty,cup,a,a,sometimes
apple,oatmeal,,,sometimes
olive,green,,,about half the time
pear,juice,,,rarely
water,spout,a,a,always
bacon,crisp,a,a,rarely
knife,edge,an,a,rarely
green,crunch,a,a,never
doggy,bone,a,a,never
yellow,eye,an,a,never
yellow,apple,an,a,sometimes
farm,channel,a,a,rarely
boy,seat,a,a,always
machine,chap,a,a,rarely
eye,ball,a,an,rarely
thick,branch,a,a,often
sunny,path,a,a,almost always
back,step,a,a,sometimes
brown,tail,a,a,almost always
gravel,border,a,a,rarely
pink,tights,,,sometimes
store,room,a,a,rarely
frog,outfit,an,a,never
yellow,hay,,,almost always
red,strawberry,a,a,almost always
dead,turtle,a,a,never
inch,square,a,an,sometimes
shell,suit,a,a,rarely
honey,doll,a,a,never
ceiling,rose,a,a,always
baby,meat,,,rarely
flat,surface,a,a,often
fat,head,a,a,about half the time
circus,officer,an,a,never
sweet,baby,a,a,always
purple,grape,a,a,almost always
pencil,eraser,an,a,almost always
tie,back,a,a,always
massage,table,a,a,rarely
orange,leaf,a,an,rarely
sand,sheep,a,a,never
red,side,a,a,always
red,caboose,a,a,almost always
pink,window,a,a,rarely
sweet,pea,a,a,rarely
orange,angelfish,an,an,about half the time
cork,tile,a,a,always
bleeding,head,a,a,rarely
brown,fur,,,always
mommy,elephant,an,a,rarely
daddy,glasses,,,rarely
round,tree,a,a,rarely
red,bear,a,a,never
laundry,basket,a,a,rarely
egg,white,,,always
peacock,body,a,a,never
green,plant,a,a,almost always
dead,worm,a,a,sometimes
dog,food,,,sometimes
wine,sherry,,,often
swimming,guy,a,a,sometimes
sign,gate,a,a,rarely
animal,magazine,a,an,rarely
furry,fuzzy,a,a,always
dinosaur,hunt,a,a,rarely
food,shopping,,,often
draw,bridge,a,a,rarely
bath,door,a,a,sometimes
triangle,piece,a,a,rarely
baby,brother,a,a,almost always
purple,boxcar,a,a,never
broken,arm,an,a,never
sickle,cell,a,a,rarely
snow,boot,a,a,sometimes
orange,heart,a,an,rarely
hot,chicken,a,a,never
ash,tray,a,an,rarely
radio,cassette,a,a,almost always
gold,reindeer,a,a,rarely
unbuttoned,jacket,a,an,sometimes
cigar,box,a,a,never
frozen,water,,,always
red,fruit,a,a,sometimes
yellow,drum,a,a,sometimes
lighter,hair,,,sometimes
mashed,potato,a,a,sometimes
oat,porridge,,,often
festival,company,a,a,rarely
flat,piece,a,a,almost always
college,downtown,a,a,rarely
pony,tail,a,a,about half the time
giant,thorn,a,a,never
sunny,spot,a,a,almost always
orange,pants,,,rarely
vanilla,chocolate,,,always
cheese,pizza,,,almost always
circus,animal,an,a,rarely
plastic,circle,a,a,rarely
chicken,dance,a,a,rarely
chicken,finger,a,a,rarely
green,piece,a,a,never
green,salad,a,a,almost always
brown,grey,,,about half the time
tea,bag,a,a,always
top,floor,a,a,never
dinosaur,movie,a,a,rarely
pink,lollypop,a,a,rarely
fish,food,,,rarely
night,shirt,a,a,rarely
puppy,mom,a,a,rarely
purple,sand,,,rarely
yellow,train,a,a,rarely
pepperoni,pizza,,,about half the time
yellow,leaf,a,a,rarely
mommy,deer,a,a,almost always
ear,plug,a,an,rarely
bird,box,a,a,never
back,bedroom,a,a,sometimes
food,pea,a,a,always
adult,alligator,an,an,almost always
broken,foot,a,a,rarely
soccer,player,a,a,sometimes
garbage,feast,a,a,never
red,cake,a,a,rarely
wet,soaking,a,a,almost always
bear,boob,a,a,never
dam,bush,a,a,rarely
dead,guy,a,a,always
face,pumpkin,a,a,often
primrose,oil,,,often
top,bunk,a,a,never
red,popsicle,a,a,sometimes
daddy,tape,a,a,never
land,horse,a,a,always
dog,collar,a,a,almost always
turtle,tank,a,a,sometimes
yellow,key,a,a,rarely
night,light,a,a,sometimes
book,honey,,,never
top,gear,a,a,rarely
pink,bird,a,a,rarely
alloy,wheel,a,an,often
brown,leaf,a,a,sometimes
test,barometer,a,a,rarely
baby,book,a,a,rarely
plum,pudding,,,rarely
press,record,a,a,almost always
green,apple,an,a,sometimes
workshop,downtown,a,a,never
boy,voice,a,a,almost always
dirty,fox,a,a,always
property,market,a,a,often
washing,powder,,,often
block,cheese,,,never
pink,tube,a,a,rarely
train,fare,a,a,always
dead,obituary,an,a,never
snow,man,a,a,always
farmer,overalls,,,sometimes
roast,beef,,,rarely
ironing,board,a,an,never
broken,string,a,a,never
wine,glasses,,,never
birth,date,a,a,always
bottom,one,a,a,almost always
spider,monkey,a,a,always
farm,puppet,a,a,sometimes
wash,room,a,a,always
red,ball,a,a,sometimes
dust,wagon,a,a,rarely
gold,fish,a,a,almost always
burnt,finger,a,a,rarely
horse,box,a,a,never
mummy,shout,a,a,almost always
velcro,latch,a,a,never
curb,stone,a,a,never
batter,box,a,a,always
trash,call,a,a,rarely
brown,patch,a,a,rarely
dust,ball,a,a,never
toy,bus,a,a,rarely
ginger,man,a,a,rarely
wood,sculpture,a,a,often
red,bug,a,a,rarely
baby,chair,a,a,rarely
brick,fireplace,a,a,almost always
candy,piece,a,a,about half the time
turkey,leg,a,a,rarely
red,bucket,a,a,rarely
pencil,box,a,a,sometimes
fat,fryer,a,a,always
band,man,a,a,rarely
spray,bottle,a,a,rarely
unbuttoned,pants,,,almost always
dirty,mama,a,a,sometimes
hot,curry,a,a,often
red,piranha,a,a,almost always
bear,family,a,a,never
daddy,face,a,a,sometimes
yogurt,pudding,,,never
diaper,check,a,a,about half the time
mud,truck,a,a,rarely
fish,shop,a,a,rarely
mountain,bike,a,a,sometimes
exit,sign,a,an,sometimes
purple,food,,,sometimes
baby,cub,a,a,always
food,restaurant,a,a,almost always
bath,tub,a,a,almost always
baseball,game,a,a,rarely
treasure,chest,a,a,rarely
red,bird,a,a,rarely
sweet,gift,a,a,sometimes
yellow,piece,a,a,never
dirty,piggy,a,a,almost always
hot,soup,,,almost always
yellow,flower,a,a,often
plastic,heron,a,a,never
dark,bikini,a,a,sometimes
garbage,collector,a,a,never
hot,flaming,,,almost always
light,hair,,,sometimes
back,corner,a,a,sometimes
green,stripe,a,a,rarely
slippery,ice,,,often
fat,boy,a,a,never
taller,bed,a,a,rarely
color,paper,a,a,often
bubble,container,a,a,sometimes
tan,wig,a,a,never
red,gecko,a,a,rarely
red,puppy,a,a,sometimes
brown,ant,an,a,sometimes
sweet,onion,an,a,almost always
baby,worm,a,a,almost always
water,swim,a,a,almost always
fat,worm,a,a,rarely
intercom,beep,a,an,almost always
alarm,clock,a,an,sometimes
color,paint,,,almost always
cotton,shirt,a,a,often
hot,tot,a,a,about half the time
cauliflower,pea,a,a,never
hot,wash,a,a,often
ostrich,egg,an,an,never
silver,green,,,rarely
board,tile,a,a,rarely
pink,violet,a,a,rarely
dirty,nose,a,a,about half the time
ant,path,a,an,often
pumpkin,head,a,a,never
quarter,teaspoon,a,a,rarely
bright,paper,a,a,rarely
heart,beat,a,a,almost always
red,road,a,a,rarely
hot,onion,an,a,rarely
orange,bead,a,an,about half the time
shaking,ball,a,a,rarely
orange,dinosaur,a,an,almost always
daddy,bird,a,a,about half the time
green,marker,a,a,sometimes
daddy,rooster,a,a,always
kitchen,table,a,a,about half the time
mackerel,fishing,,,rarely
green,pig,a,a,never
top,tap,a,a,almost always
pumpkin,farm,a,a,rarely
orange,tummy,a,an,never
red,button,a,a,rarely
yellow,bowl,a,a,rarely
bottom,oven,an,a,often
blowing,wind,,,always
tiger,picture,a,a,rarely
street,sweeper,a,a,often
entrance,door,a,an,often
water,table,a,a,sometimes
rocket,shot,a,a,about half the time
beef,sandwich,a,a,rarely
detective,show,a,a,rarely
pumpkin,pie,a,a,sometimes
green,moose,a,a,never
orange,cat,a,an,sometimes
yellow,tongue,a,a,rarely
purple,top,a,a,rarely
salmon,salad,a,a,about half the time
purple,captain,a,a,never
bright,pink,,,about half the time
clown,hair,,,rarely
report,card,a,a,rarely
rainy,day,a,a,sometimes
airline,pilot,a,an,often
school,boy,a,a,almost always
dragon,game,a,a,rarely
football,match,a,a,often
green,wreath,a,a,almost always
molasses,swamp,a,a,never
pink,rose,a,a,often
home,daddy,a,a,rarely
cutting,edge,an,a,rarely
purple,eye,an,a,never
green,kitty,a,a,never
rail,ticket,a,a,almost always
hay,cart,a,a,rarely
wooden,platter,a,a,often
round,spot,a,a,always
garden,furniture,,,rarely
bar,bell,a,a,rarely
worm,belly,a,a,rarely
pastel,pink,,,sometimes
prawn,sandwich,a,a,rarely
cabbage,plant,a,a,always
clock,tower,a,a,sometimes
sleeping,policeman,a,a,never
thick,player,a,a,never
dog,beach,a,a,rarely
fish,cracker,a,a,rarely
outside,tap,a,an,rarely
bubble,gum,a,a,sometimes
letter,tile,a,a,almost always
purple,spaghetti,,,never
farmer,guy,a,a,rarely
cut,grass,,,always
croquet,stroke,a,a,never
hay,cookie,a,a,rarely
green,ornament,an,a,sometimes
water,tower,a,a,never
plant,pot,a,a,almost always
fat,roll,a,a,rarely
brown,coconut,a,a,almost always
purple,shoe,a,a,rarely
giant,boy,a,a,never
green,pepper,a,a,sometimes
purple,tail,a,a,never
ogre,lady,a,an,rarely
bow,colors,a,a,often
cross,bun,a,a,almost always
red,punch,a,a,about half the time
pink,heart,a,a,often
cat,scratching,,,almost always
peppermint,candy,,,rarely
dirty,baby,a,a,almost always
brown,mud,,,often
food,board,a,a,sometimes
slot,machine,a,a,rarely
yellow,door,a,a,rarely
dirty,diaper,a,a,almost always
roast,potato,a,a,rarely
red,handle,a,a,never
water,drip,a,a,almost always
puppet,show,a,a,rarely
yellow,bucket,a,a,rarely
yellow,banana,a,a,almost always
pink,tutu,a,a,sometimes
solar,battery,a,a,sometimes
ice,cream,,,always
sugar,dough,,,sometimes
barbecue,recipe,a,a,rarely
orange,flag,a,an,rarely
bunny,sleep,,,never
box,toy,a,a,rarely
dirt,road,a,a,rarely
orange,dot,a,an,rarely
tape,player,a,a,rarely
broken,egg,an,a,rarely
daddy,foot,a,a,never
mommy,chin,a,a,never
green,coat,a,a,sometimes
night,moon,a,a,almost always
brown,suite,a,a,rarely
giant,committee,a,a,rarely
sweet,honey,,,always
school,room,a,a,rarely
giant,skyscraper,a,a,always
trash,book,a,a,never
top,row,a,a,rarely
pink,coat,a,a,rarely
mud,pile,a,a,rarely
mommy,worm,a,a,always
farm,cat,a,a,sometimes
crayon,pile,a,a,never
green,melon,a,a,often
aloe,plant,a,an,rarely
icy,coast,a,an,rarely
refrigerator,door,a,a,sometimes
baby,pig,a,a,never
fire,grate,a,a,often
yellow,flag,a,a,rarely
baby,wipe,a,a,almost always
engine,train,a,an,always
fuzzy,peach,a,a,almost always
dirty,straw,a,a,rarely
bleach,water,,,rarely
fishing,pole,a,a,sometimes
snow,shovel,a,a,rarely
oven,top,a,an,sometimes
yellow,reindeer,a,a,rarely
red,man,a,a,never
girl,doctor,a,a,sometimes
fat,doctor,a,a,sometimes
brain,rot,,,never
red,hand,a,a,rarely
fat,face,a,a,about half the time
knee,joint,a,a,almost always
food,processor,a,a,almost always
committee,report,a,a,about half the time
dirty,one,a,a,rarely
green,hoop,a,a,sometimes
wet,washing,,,almost always
top,oven,an,a,rarely
strawberry,juice,,,rarely
cheddar,cracker,a,a,sometimes
slipper,sock,a,a,rarely
capital,letter,a,a,rarely
ground,almond,an,a,always
vanilla,pudding,,,often
shower,tray,a,a,always
tracksuit,bottom,a,a,almost always
dirty,park,a,a,never
green,door,a,a,rarely
sweet,boy,a,a,sometimes
red,reindeer,a,a,never
red,train,a,a,rarely
broken,leg,a,a,rarely
brown,gravy,,,almost always
smoke,salmon,,,rarely
cigarette,carton,a,a,sometimes
brass,drum,a,a,often
baby,booty,a,a,always
dirty,shirt,a,a,sometimes
purple,triangle,a,a,never
bright,moonlight,,,often
icecream,scoop,a,an,always
sliced,cheese,,,almost always
sweet,cocoa,,,almost always
van,window,a,a,rarely
bunny,clothes,,,rarely
orange,tail,a,an,always
bead,string,a,a,almost always
mirror,piece,a,a,about half the time
yellow,guy,a,a,rarely
food,bowl,a,a,almost always
red,foot,a,a,rarely
bird,nest,a,a,often
color,clothes,,,about half the time
elephant,puzzle,a,an,rarely
window,frame,a,a,almost always
pink,snail,a,a,rarely
blind,mom,a,a,rarely
teddy,workshop,a,a,rarely
rabbit,stew,a,a,almost always
purple,horn,a,a,rarely
puzzle,book,a,a,never
farm,animal,an,a,rarely
tiger,baby,a,a,never
wet,whisker,a,a,sometimes
tube,company,a,a,rarely
steel,worker,a,a,rarely
yellow,brush,a,a,sometimes
orange,leg,a,an,rarely
green,spider,a,a,sometimes
jump,rope,a,a,sometimes
bright,beak,a,a,sometimes
brown,path,a,a,often
naked,person,a,a,rarely
furry,bear,a,a,always
green,cactus,a,a,always
soldier,crab,a,a,always
purple,turtle,a,a,rarely
plastic,metal,,,never
juicy,meat,a,a,often
yellow,rake,a,a,never
pink,pig,a,a,almost always
mama,elephant,an,a,about half the time
baby,sock,a,a,rarely
green,shell,a,a,rarely
room,clock,a,a,rarely
fish,skeleton,a,a,never
mutton,head,a,a,almost always
strawberry,color,a,a,never
chicken,coop,a,a,almost always
curtain,ring,a,a,never
manor,ground,,,rarely
hill,riding,,,rarely
paddle,wheel,a,a,rarely
country,mouse,a,a,never
purple,saber,a,a,never
red,kite,a,a,sometimes
baby,monkey,a,a,rarely
rubber,book,a,a,never
sun,block,a,a,never
mantel,fire,,,always
porcelain,doll,a,a,rarely
cut,dude,a,a,sometimes
quarter,moon,a,a,sometimes
pink,pickle,a,a,always
silver,packet,a,a,rarely
bear,cub,a,a,often
broken,tv,a,a,rarely
poison,apple,an,a,rarely
stroller,baby,a,a,rarely
solid,path,a,a,never
top,penthouse,a,a,always
red,planet,a,a,rarely
cookie,day,a,a,always
noodle,soup,,,rarely
television,actress,an,a,often
solid,line,a,a,always
baby,raccoon,a,a,rarely
frame,chip,a,a,about half the time
bright,punch,a,a,rarely
yellow,saddle,a,a,rarely
mommy,doggie,a,a,almost always
cinnamon,roll,a,a,rarely
foot,ball,a,a,often
puzzle,maker,a,a,sometimes
purple,teddy,a,a,rarely
room,slipper,a,a,almost always
wood,cylinder,a,a,never
pink,scooter,a,a,rarely
manual,gear,a,a,never
concrete,floor,a,a,often
yellow,mouth,a,a,rarely
plant,debris,,,often
shield,brooch,a,a,rarely
outside,soccer,,,almost always
upstairs,sleeping,,,almost always
ladybug,toy,a,a,rarely
tonic,glass,a,a,rarely
fish,pie,a,a,sometimes
purple,bug,a,a,rarely
red,jacket,a,a,rarely
flower,piece,a,a,always
tissue,paper,a,a,sometimes
city,mouse,a,a,never
dark,shadow,a,a,always
green,toy,a,a,rarely
wet,bucket,a,a,sometimes
sister,game,a,a,rarely
bottom,hair,,,rarely
frog,book,a,a,rarely
juicy,worm,a,a,almost always
diving,dummy,a,a,almost always
purple,flag,a,a,rarely
snow,tiger,a,a,rarely
dark,tunnel,a,a,almost always
umbrella,tree,a,an,rarely
fuzzy,bone,a,a,never
glass,slipper,a,a,rarely
dinosaur,hunter,a,a,almost always
shop,book,a,a,sometimes
sister,church,a,a,always
color,block,a,a,always
baby,person,a,a,never
dark,chap,a,a,almost always
green,bone,a,a,almost always
ocean,world,a,an,rarely
wet,man,a,a,sometimes
purple,guy,a,a,never
broken,pen,a,a,rarely
solid,hedge,a,a,never
green,bag,a,a,rarely
fish,hook,a,a,almost always
yellow,glasses,,,rarely
sea,horse,a,a,never
wooden,table,a,a,often
yellow,sheet,a,a,rarely
jet,engine,an,a,rarely
night,star,a,a,almost always
color,grey,,,never
country,lane,a,a,sometimes
orange,rock,a,an,rarely
bank,account,an,a,almost always
train,table,a,a,rarely
dead,dad,a,a,sometimes
