adjective,noun,article,adj_article,llama_base_judgment
purple,stage,a,a,almost always
cream,cake,a,a,rarely
puppy,food,,,never
baby,heart,a,a,never
smiley,ball,a,a,never
gold,guy,a,a,never
varnish,stripper,a,a,never
purple,square,a,a,never
red,phone,a,a,rarely
brown,pumpkin,a,a,rarely
flower,petal,a,a,always
instrument,panel,a,an,often
giant,saucer,a,a,sometimes
face,painting,a,a,rarely
curve,piece,a,a,sometimes
raisin,bun,a,a,rarely
milk,bar,a,a,rarely
pink,diamond,a,a,rarely
back,window,a,a,about half the time
apple,green,,,about half the time
outside,edge,an,an,never
string,puppet,a,a,never
green,tower,a,a,rarely
rolling,ball,a,a,often
rain,storm,a,a,often
green,popsicle,a,a,sometimes
hot,pants,,,rarely
light,lunch,a,a,sometimes
light,ball,a,a,sometimes
hammer,fork,a,a,always
farm,game,a,a,rarely
caterpillar,walking,,,often
wet,day,a,a,about half the time
red,roof,a,a,almost always
pink,collar,a,a,almost always
top,coat,a,a,always
bear,walking,,,almost always
flower,box,a,a,always
kid,cartoon,a,a,about half the time
yellow,paper,a,a,almost always
skating,girl,a,a,almost always
dead,brother,a,a,never
lady,song,a,a,sometimes
pink,ear,an,a,rarely
cookie,dough,,,almost always
light,green,,,often
edge,piece,a,an,about half the time
computer,scientist,a,a,sometimes
orange,star,a,an,almost always
farmer,lady,a,a,rarely
troll,bridge,a,a,never
fire,truck,a,a,rarely
slate,mine,a,a,rarely
brown,barn,a,a,about half the time
gold,game,a,a,never
police,car,a,a,rarely
tan,lotion,,,never
rectangle,diamond,a,a,never
baby,basket,a,a,rarely
broken,piece,a,a,sometimes
thick,person,a,a,about half the time
fish,book,a,a,never
purple,lollipop,a,a,often
hot,pot,a,a,rarely
hall,servant,a,a,always
crispy,piece,a,a,always
dictionary,writer,a,a,about half the time
thick,sandwich,a,a,rarely
square,block,a,a,rarely
puppy,dog,a,a,about half the time
farmer,truck,a,a,almost always
yellow,baby,a,a,often
hot,plastic,,,about half the time
hot,mommy,a,a,almost always
mud,puddle,a,a,sometimes
arcade,music,,,often
green,field,a,a,about half the time
cocktail,side,a,a,about half the time
telephone,box,a,a,rarely
quarter,inch,an,a,never
coffee,cake,a,a,sometimes
picnic,meal,a,a,about half the time
ice,tea,,,rarely
baby,spoon,a,a,rarely
yellow,page,a,a,about half the time
crystal,cave,a,a,almost always
light,wood,,,never
green,finger,a,a,rarely
block,building,a,a,always
baby,doll,a,a,almost always
elephant,trumpeting,,,almost always
yellow,rain,,,never
yard,clipping,a,a,rarely
back,garden,a,a,never
green,path,a,a,almost always
red,cutter,a,a,almost always
snow,ninja,a,a,sometimes
nose,guy,a,a,rarely
airplane,ride,a,an,often
fish,jump,a,a,about half the time
green,overalls,,,rarely
stump,grinder,a,a,almost always
singing,mama,a,a,sometimes
pink,clothes,,,often
dirty,hand,a,a,never
drum,stick,a,a,often
bear,cave,a,a,almost always
green,pants,,,rarely
hot,bun,a,a,never
pink,satin,,,about half the time
daddy,ear,an,a,about half the time
varnish,paint,,,sometimes
silver,car,a,a,often
giant,puzzle,a,a,almost always
red,pot,a,a,never
guy,wizard,a,a,almost always
red,door,a,a,almost always
picture,frame,a,a,often
infant,teacher,a,an,always
lizard,mom,a,a,rarely
lion,dung,,,never
orange,nose,a,an,rarely
puzzle,pile,a,a,about half the time
hot,fire,,,often
iron,sword,a,an,about half the time
gold,map,a,a,never
grandfather,clock,a,a,rarely
whisky,drop,a,a,never
paint,brush,a,a,about half the time
solid,rain,,,often
human,body,a,a,often
dead,plant,a,a,rarely
tea,cup,a,a,rarely
dirty,blanket,a,a,sometimes
chip,machine,a,a,always
leopard,seal,a,a,rarely
baby,leaf,a,a,rarely
yellow,circle,a,a,never
food,chain,a,a,never
fire,exit,an,a,often
mutant,peacock,a,a,rarely
red,drum,a,a,almost always
yellow,parrot,a,a,about half the time
dirty,plate,a,a,often
round,track,a,a,often
slippery,sock,a,a,rarely
baby,dog,a,a,sometimes
paw,print,a,a,often
red,towel,a,a,rarely
guy,robot,a,a,about half the time
red,stripe,a,a,sometimes
dirty,pants,,,sometimes
red,track,a,a,sometimes
meteor,crater,a,a,almost always
carpet,shop,a,a,almost always
green,candy,,,sometimes
thorn,bush,a,a,sometimes
hand,bag,a,a,almost always
yellow,line,a,a,often
green,frosting,,,rarely
square,pan,a,a,sometimes
pointy,tree,a,a,rarely
purple,necklace,a,a,never
cotton,candy,,,almost always
top,hat,a,a,never
potato,plant,a,a,never
color,popsicle,a,a,often
red,hole,a,a,sometimes
wall,clock,a,a,almost always
tea,pot,a,a,almost always
frog,toy,a,a,often
blooming,herb,a,a,almost always
bottom,shelf,a,a,about half the time
cup,cake,a,a,often
pink,brush,a,a,rarely
purple,boot,a,a,rarely
fruit,snack,a,a,about half the time
brown,coffee,,,often
yellow,sleeve,a,a,never
umbrella,handle,a,an,often
purple,tower,a,a,rarely
hot,cocoa,,,rarely
animal,cracker,a,an,almost always
broken,bridge,a,a,almost always
kid,scissors,,,sometimes
dog,book,a,a,almost always
furnishings,gift,a,a,about half the time
man,face,a,a,almost always
light,horse,a,a,often
phone,ring,a,a,often
red,top,a,a,about half the time
kids,block,a,a,almost always
giant,mess,a,a,about half the time
rolling,robot,a,a,about half the time
elephant,eye,an,an,rarely
lounge,window,a,a,never
green,strawberry,a,a,rarely
oven,door,a,an,often
dirty,girl,a,a,almost always
camera,man,a,a,often
maple,syrup,,,about half the time
pink,dinosaur,a,a,never
traffic,jam,,,often
mail,card,a,a,rarely
rope,ladder,a,a,sometimes
broken,cracker,a,a,sometimes
wooden,button,a,a,rarely
flat,edge,an,a,rarely
kid,toy,a,a,often
milk,man,a,a,sometimes
dancing,troop,a,a,almost always
sinus,infection,an,a,always
back,yard,a,a,about half the time
arm,pit,a,an,almost always
guy,talking,,,rarely
day,game,a,a,almost always
photo,album,an,a,sometimes
outside,guy,a,an,never
spaghetti,meatball,a,a,sometimes
kitchen,sink,a,a,sometimes
corner,piece,a,a,rarely
purple,octagon,an,a,rarely
diving,board,a,a,almost always
garden,worm,a,a,never
bright,star,a,a,about half the time
patio,door,a,a,rarely
brown,eye,an,a,often
banana,bread,,,never
enamel,shell,a,an,sometimes
furry,tummy,a,a,often
solar,eclipse,an,a,about half the time
purple,flower,a,a,rarely
drop,curtain,a,a,almost always
bull,frog,a,a,sometimes
purple,purse,a,a,rarely
video,camera,a,a,often
orange,animal,an,an,often
rag,doll,a,a,sometimes
yellow,sun,,,almost always
clothes,hamper,a,a,often
cookie,cutter,a,a,almost always
green,bow,a,a,rarely
plastic,card,a,a,almost always
giant,shoe,a,a,rarely
pink,pipe,a,a,often
orange,skittle,a,an,often
head,louse,a,a,often
purple,candy,,,about half the time
orange,square,a,an,rarely
cooker,gas,,,often
locked,closet,a,a,often
red,ant,an,a,sometimes
box,office,an,a,almost always
orange,frog,a,an,sometimes
mop,head,a,a,rarely
puppy,doggy,a,a,often
tool,repair,a,a,never
color,page,a,a,sometimes
hip,bone,a,a,rarely
red,ladybug,a,a,about half the time
red,wheel,a,a,often
purple,bat,a,a,sometimes
cake,shop,a,a,almost always
picture,hook,a,a,often
crusty,roll,a,a,almost always
bright,tail,a,a,sometimes
daddy,gorilla,a,a,almost always
ladies,toilet,a,a,never
gravel,pile,a,a,sometimes
dog,stand,a,a,often
clock,piece,a,a,often
yellow,shirt,a,a,sometimes
velvety,horse,a,a,sometimes
purple,cabbage,a,a,almost always
dirty,mouth,a,a,sometimes
top,trainer,a,a,sometimes
birth,present,a,a,almost always
dark,sky,a,a,never
coffee,milk,,,always
baby,bounce,a,a,about half the time
scar,scar,a,a,often
battery,drawer,a,a,rarely
circus,truck,a,a,rarely
room,table,a,a,never
boa,constrictor,a,a,often
car,transporter,a,a,almost always
bleeding,finger,a,a,rarely
human,head,a,a,almost always
ball,bounce,a,a,sometimes
yellow,light,a,a,rarely
tree,trunk,a,a,about half the time
ball,bearing,,,about half the time
sweat,gland,a,a,almost always
call,line,a,a,almost always
bin,liner,a,a,never
red,brush,a,a,sometimes
digger,truck,a,a,rarely
shovel,honey,,,never
cheese,pie,a,a,always
night,spider,a,a,about half the time
store,lady,a,a,almost always
teddy,bear,a,a,sometimes
medication,honey,,,almost always
school,book,a,a,sometimes
goldfish,day,a,a,never
toy,boy,a,a,never
pink,girl,a,a,rarely
people,town,a,a,often
worm,soup,,,never
pink,worm,a,a,about half the time
egg,shell,a,an,almost always
baby,song,a,a,never
furry,face,a,a,often
brown,mountain,a,a,rarely
red,coloring,,,never
patio,barbecue,a,a,always
blonde,hair,,,often
top,lid,a,a,often
wooden,reel,a,a,sometimes
iron,leg,a,an,never
baby,crayon,a,a,rarely
train,line,a,a,often
birth,day,a,a,never
doctor,kit,a,a,almost always
door,key,a,a,never
bus,fare,a,a,sometimes
solid,piece,a,a,sometimes
fish,soup,,,never
princess,bed,a,a,almost always
top,edge,an,a,never
turkey,sandwich,a,a,rarely
timer,switch,a,a,sometimes
red,mouse,a,a,almost always
green,garbage,,,rarely
wet,bird,a,a,almost always
yellow,pepper,a,a,never
dalmatian,dog,a,a,rarely
red,fence,a,a,often
daddy,pirate,a,a,about half the time
brown,clump,a,a,about half the time
red,airplane,an,a,rarely
military,police,,,sometimes
red,orange,an,a,rarely
bear,hunt,a,a,almost always
red,triangle,a,a,rarely
gas,station,a,a,never
pink,flamingo,a,a,often
yellow,tree,a,a,rarely
satellite,dish,a,a,rarely
cigar,smoking,,,never
dance,music,,,about half the time
candy,bar,a,a,rarely
egg,box,a,an,rarely
sand,box,a,a,rarely
pet,cage,a,a,almost always
yellow,coral,,,sometimes
dark,hair,,,always
vegetable,oil,,,often
green,picture,a,a,rarely
green,baby,a,a,sometimes
pant,leg,a,a,often
hedge,cutter,a,a,often
beef,hash,a,a,never
plastic,box,a,a,rarely
green,nose,a,a,almost always
brown,sauce,,,sometimes
yellow,coloring,,,always
hot,lunch,a,a,often
fish,stall,a,a,often
wire,sandwich,a,a,rarely
bright,color,a,a,often
bathroom,window,a,a,rarely
hot,ride,a,a,sometimes
tub,seat,a,a,about half the time
draw,picture,a,a,often
water,pipe,a,a,always
safari,hat,a,a,rarely
hot,seat,a,a,often
top,step,a,a,rarely
spider,ring,a,a,almost always
bottom,corner,a,a,never
cotton,ball,a,a,about half the time
record,button,a,a,sometimes
doll,baby,a,a,often
cat,product,a,a,never
rusty,bucket,a,a,never
gun,runner,a,a,never
washing,machine,a,a,almost always
naked,butt,a,a,rarely
cabbage,leaf,a,a,rarely
dirty,sock,a,a,rarely
karate,chop,a,a,almost always
yard,tent,a,a,never
goat,boy,a,a,rarely
father,duck,a,a,sometimes
pink,rattle,a,a,sometimes
witch,hair,,,never
crane,station,a,a,about half the time
toy,store,a,a,never
dark,ball,a,a,rarely
pink,corner,a,a,never
truck,piece,a,a,often
red,jumper,a,a,sometimes
pink,dot,a,a,sometimes
money,card,a,a,never
teapot,water,,,about half the time
chocolate,cake,a,a,often
person,game,a,a,almost always
sea,urchin,an,a,often
red,broccoli,,,never
bus,ticket,a,a,never
rock,pool,a,a,almost always
red,dragon,a,a,sometimes
movie,camera,a,a,never
flat,mouth,a,a,about half the time
salmon,leaping,a,a,rarely
outside,person,a,an,often
tin,tray,a,a,rarely
hand,glove,a,a,often
scout,group,a,a,about half the time
guy,beard,a,a,often
silver,beard,a,a,about half the time
smoke,stack,a,a,sometimes
rain,glasses,,,rarely
zucchini,plant,a,a,almost always
purple,bud,a,a,always
cash,till,a,a,often
pink,dragon,a,a,almost always
girl,case,a,a,about half the time
orange,cutter,a,an,rarely
kitchen,door,a,a,about half the time
pear,skin,,,sometimes
dirty,hamper,a,a,almost always
orange,sunset,a,an,about half the time
hot,wood,,,never
dirty,penny,a,a,often
dirty,cup,a,a,sometimes
apple,oatmeal,,,rarely
olive,green,,,rarely
pear,juice,,,never
water,spout,a,a,often
bacon,crisp,a,a,almost always
knife,edge,an,a,almost always
green,crunch,a,a,sometimes
doggy,bone,a,a,about half the time
yellow,eye,an,a,rarely
yellow,apple,an,a,often
farm,channel,a,a,almost always
boy,seat,a,a,never
machine,chap,a,a,rarely
eye,ball,a,an,never
thick,branch,a,a,never
sunny,path,a,a,often
back,step,a,a,rarely
brown,tail,a,a,never
gravel,border,a,a,rarely
pink,tights,,,almost always
store,room,a,a,almost always
frog,outfit,an,a,rarely
yellow,hay,,,often
red,strawberry,a,a,about half the time
dead,turtle,a,a,never
inch,square,a,an,rarely
shell,suit,a,a,always
honey,doll,a,a,rarely
ceiling,rose,a,a,never
baby,meat,,,sometimes
flat,surface,a,a,often
fat,head,a,a,never
circus,officer,an,a,about half the time
sweet,baby,a,a,almost always
purple,grape,a,a,almost always
pencil,eraser,an,a,almost always
tie,back,a,a,about half the time
massage,table,a,a,rarely
orange,leaf,a,an,never
sand,sheep,a,a,rarely
red,side,a,a,almost always
red,caboose,a,a,almost always
pink,window,a,a,rarely
sweet,pea,a,a,rarely
orange,angelfish,an,an,rarely
cork,tile,a,a,almost always
bleeding,head,a,a,almost always
brown,fur,,,often
mommy,elephant,an,a,sometimes
daddy,glasses,,,rarely
round,tree,a,a,rarely
red,bear,a,a,rarely
laundry,basket,a,a,never
egg,white,,,often
peacock,body,a,a,sometimes
green,plant,a,a,often
dead,worm,a,a,rarely
dog,food,,,sometimes
wine,sherry,,,sometimes
swimming,guy,a,a,about half the time
sign,gate,a,a,never
animal,magazine,a,an,rarely
furry,fuzzy,a,a,almost always
dinosaur,hunt,a,a,sometimes
food,shopping,,,always
draw,bridge,a,a,often
bath,door,a,a,almost always
triangle,piece,a,a,often
baby,brother,a,a,always
purple,boxcar,a,a,about half the time
broken,arm,an,a,about half the time
sickle,cell,a,a,rarely
snow,boot,a,a,sometimes
orange,heart,a,an,sometimes
hot,chicken,a,a,about half the time
ash,tray,a,an,almost always
radio,cassette,a,a,rarely
gold,reindeer,a,a,often
unbuttoned,jacket,a,an,often
cigar,box,a,a,rarely
frozen,water,,,almost always
red,fruit,a,a,about half the time
yellow,drum,a,a,rarely
lighter,hair,,,almost always
mashed,potato,a,a,rarely
oat,porridge,,,sometimes
festival,company,a,a,almost always
flat,piece,a,a,often
college,downtown,a,a,often
pony,tail,a,a,never
giant,thorn,a,a,never
sunny,spot,a,a,never
orange,pants,,,never
vanilla,chocolate,,,never
cheese,pizza,,,almost always
circus,animal,an,a,never
plastic,circle,a,a,rarely
chicken,dance,a,a,almost always
chicken,finger,a,a,never
green,piece,a,a,rarely
green,salad,a,a,rarely
brown,grey,,,rarely
tea,bag,a,a,always
top,floor,a,a,almost always
dinosaur,movie,a,a,about half the time
pink,lollypop,a,a,sometimes
fish,food,,,often
night,shirt,a,a,rarely
puppy,mom,a,a,almost always
purple,sand,,,rarely
yellow,train,a,a,always
pepperoni,pizza,,,often
yellow,leaf,a,a,about half the time
mommy,deer,a,a,sometimes
ear,plug,a,an,rarely
bird,box,a,a,rarely
back,bedroom,a,a,sometimes
food,pea,a,a,often
adult,alligator,an,an,sometimes
broken,foot,a,a,almost always
soccer,player,a,a,often
garbage,feast,a,a,never
red,cake,a,a,never
wet,soaking,a,a,often
bear,boob,a,a,often
dam,bush,a,a,rarely
dead,guy,a,a,sometimes
face,pumpkin,a,a,sometimes
primrose,oil,,,rarely
top,bunk,a,a,sometimes
red,popsicle,a,a,often
daddy,tape,a,a,almost always
land,horse,a,a,always
dog,collar,a,a,almost always
turtle,tank,a,a,rarely
yellow,key,a,a,sometimes
night,light,a,a,almost always
book,honey,,,rarely
top,gear,a,a,almost always
pink,bird,a,a,almost always
alloy,wheel,a,an,almost always
brown,leaf,a,a,almost always
test,barometer,a,a,never
baby,book,a,a,about half the time
plum,pudding,,,never
press,record,a,a,often
green,apple,an,a,never
workshop,downtown,a,a,rarely
boy,voice,a,a,never
dirty,fox,a,a,almost always
property,market,a,a,rarely
washing,powder,,,often
block,cheese,,,never
pink,tube,a,a,never
train,fare,a,a,rarely
dead,obituary,an,a,almost always
snow,man,a,a,rarely
farmer,overalls,,,about half the time
roast,beef,,,almost always
ironing,board,a,an,almost always
broken,string,a,a,almost always
wine,glasses,,,rarely
birth,date,a,a,about half the time
bottom,one,a,a,always
spider,monkey,a,a,rarely
farm,puppet,a,a,never
wash,room,a,a,never
red,ball,a,a,never
dust,wagon,a,a,rarely
gold,fish,a,a,rarely
burnt,finger,a,a,rarely
horse,box,a,a,rarely
mummy,shout,a,a,rarely
velcro,latch,a,a,rarely
curb,stone,a,a,rarely
batter,box,a,a,never
trash,call,a,a,almost always
brown,patch,a,a,almost always
dust,ball,a,a,about half the time
toy,bus,a,a,rarely
ginger,man,a,a,rarely
wood,sculpture,a,a,rarely
red,bug,a,a,about half the time
baby,chair,a,a,rarely
brick,fireplace,a,a,often
candy,piece,a,a,often
turkey,leg,a,a,never
red,bucket,a,a,almost always
pencil,box,a,a,often
fat,fryer,a,a,almost always
band,man,a,a,always
spray,bottle,a,a,often
unbuttoned,pants,,,almost always
dirty,mama,a,a,almost always
hot,curry,a,a,often
red,piranha,a,a,never
bear,family,a,a,almost always
daddy,face,a,a,often
yogurt,pudding,,,rarely
diaper,check,a,a,about half the time
mud,truck,a,a,often
fish,shop,a,a,almost always
mountain,bike,a,a,rarely
exit,sign,a,an,often
purple,food,,,rarely
baby,cub,a,a,always
food,restaurant,a,a,almost always
bath,tub,a,a,almost always
baseball,game,a,a,rarely
treasure,chest,a,a,sometimes
red,bird,a,a,sometimes
sweet,gift,a,a,often
yellow,piece,a,a,almost always
dirty,piggy,a,a,almost always
hot,soup,,,almost always
yellow,flower,a,a,sometimes
plastic,heron,a,a,rarely
dark,bikini,a,a,never
garbage,collector,a,a,rarely
hot,flaming,,,almost always
light,hair,,,about half the time
back,corner,a,a,never
green,stripe,a,a,often
slippery,ice,,,often
fat,boy,a,a,almost always
taller,bed,a,a,almost always
color,paper,a,a,about half the time
bubble,container,a,a,rarely
tan,wig,a,a,sometimes
red,gecko,a,a,about half the time
red,puppy,a,a,rarely
brown,ant,an,a,often
sweet,onion,an,a,never
baby,worm,a,a,sometimes
water,swim,a,a,always
fat,worm,a,a,almost always
intercom,beep,a,an,never
alarm,clock,a,an,about half the time
color,paint,,,often
cotton,shirt,a,a,almost always
hot,tot,a,a,almost always
cauliflower,pea,a,a,never
hot,wash,a,a,sometimes
ostrich,egg,an,an,rarely
silver,green,,,never
board,tile,a,a,never
pink,violet,a,a,rarely
dirty,nose,a,a,about half the time
ant,path,a,an,rarely
pumpkin,head,a,a,rarely
quarter,teaspoon,a,a,rarely
bright,paper,a,a,about half the time
heart,beat,a,a,never
red,road,a,a,often
hot,onion,an,a,rarely
orange,bead,a,an,sometimes
shaking,ball,a,a,sometimes
orange,dinosaur,a,an,almost always
daddy,bird,a,a,sometimes
green,marker,a,a,rarely
daddy,rooster,a,a,almost always
kitchen,table,a,a,sometimes
mackerel,fishing,,,rarely
green,pig,a,a,rarely
top,tap,a,a,almost always
pumpkin,farm,a,a,sometimes
orange,tummy,a,an,often
red,button,a,a,about half the time
yellow,bowl,a,a,rarely
bottom,oven,an,a,almost always
blowing,wind,,,often
tiger,picture,a,a,about half the time
street,sweeper,a,a,about half the time
entrance,door,a,an,almost always
water,table,a,a,sometimes
rocket,shot,a,a,about half the time
beef,sandwich,a,a,never
detective,show,a,a,often
pumpkin,pie,a,a,rarely
green,moose,a,a,rarely
orange,cat,a,an,almost always
yellow,tongue,a,a,rarely
purple,top,a,a,almost always
salmon,salad,a,a,rarely
purple,captain,a,a,often
bright,pink,,,sometimes
clown,hair,,,almost always
report,card,a,a,never
rainy,day,a,a,always
airline,pilot,a,an,almost always
school,boy,a,a,almost always
dragon,game,a,a,almost always
football,match,a,a,almost always
green,wreath,a,a,about half the time
molasses,swamp,a,a,rarely
pink,rose,a,a,about half the time
home,daddy,a,a,often
cutting,edge,an,a,sometimes
purple,eye,an,a,almost always
green,kitty,a,a,often
rail,ticket,a,a,often
hay,cart,a,a,never
wooden,platter,a,a,always
round,spot,a,a,never
garden,furniture,,,almost always
bar,bell,a,a,rarely
worm,belly,a,a,rarely
pastel,pink,,,often
prawn,sandwich,a,a,never
cabbage,plant,a,a,always
clock,tower,a,a,never
sleeping,policeman,a,a,often
thick,player,a,a,rarely
dog,beach,a,a,sometimes
fish,cracker,a,a,rarely
outside,tap,a,an,often
bubble,gum,a,a,about half the time
letter,tile,a,a,sometimes
purple,spaghetti,,,almost always
farmer,guy,a,a,about half the time
cut,grass,,,almost always
croquet,stroke,a,a,never
hay,cookie,a,a,never
green,ornament,an,a,almost always
water,tower,a,a,rarely
plant,pot,a,a,rarely
fat,roll,a,a,often
brown,coconut,a,a,never
purple,shoe,a,a,about half the time
giant,boy,a,a,rarely
green,pepper,a,a,often
purple,tail,a,a,never
ogre,lady,a,an,rarely
bow,colors,a,a,often
cross,bun,a,a,never
red,punch,a,a,often
pink,heart,a,a,never
cat,scratching,,,often
peppermint,candy,,,never
dirty,baby,a,a,sometimes
brown,mud,,,about half the time
food,board,a,a,almost always
slot,machine,a,a,rarely
yellow,door,a,a,almost always
dirty,diaper,a,a,almost always
roast,potato,a,a,about half the time
red,handle,a,a,never
water,drip,a,a,about half the time
puppet,show,a,a,rarely
yellow,bucket,a,a,about half the time
yellow,banana,a,a,about half the time
pink,tutu,a,a,often
solar,battery,a,a,never
ice,cream,,,about half the time
sugar,dough,,,never
barbecue,recipe,a,a,often
orange,flag,a,an,never
bunny,sleep,,,rarely
box,toy,a,a,often
dirt,road,a,a,never
orange,dot,a,an,always
tape,player,a,a,almost always
broken,egg,an,a,rarely
daddy,foot,a,a,about half the time
mommy,chin,a,a,never
green,coat,a,a,often
night,moon,a,a,about half the time
brown,suite,a,a,often
giant,committee,a,a,rarely
sweet,honey,,,almost always
school,room,a,a,never
giant,skyscraper,a,a,always
trash,book,a,a,sometimes
top,row,a,a,often
pink,coat,a,a,often
mud,pile,a,a,rarely
mommy,worm,a,a,often
farm,cat,a,a,almost always
crayon,pile,a,a,almost always
green,melon,a,a,always
aloe,plant,a,an,never
icy,coast,a,an,about half the time
refrigerator,door,a,a,rarely
baby,pig,a,a,sometimes
fire,grate,a,a,always
yellow,flag,a,a,rarely
baby,wipe,a,a,almost always
engine,train,a,an,often
fuzzy,peach,a,a,almost always
dirty,straw,a,a,rarely
bleach,water,,,about half the time
fishing,pole,a,a,never
snow,shovel,a,a,almost always
oven,top,a,an,never
yellow,reindeer,a,a,never
red,man,a,a,rarely
girl,doctor,a,a,sometimes
fat,doctor,a,a,never
brain,rot,,,never
red,hand,a,a,often
fat,face,a,a,sometimes
knee,joint,a,a,rarely
food,processor,a,a,sometimes
committee,report,a,a,about half the time
dirty,one,a,a,about half the time
green,hoop,a,a,always
wet,washing,,,almost always
top,oven,an,a,almost always
strawberry,juice,,,about half the time
cheddar,cracker,a,a,rarely
slipper,sock,a,a,sometimes
capital,letter,a,a,almost always
ground,almond,an,a,about half the time
vanilla,pudding,,,almost always
shower,tray,a,a,almost always
tracksuit,bottom,a,a,about half the time
dirty,park,a,a,sometimes
green,door,a,a,often
sweet,boy,a,a,rarely
red,reindeer,a,a,never
red,train,a,a,often
broken,leg,a,a,never
brown,gravy,,,often
smoke,salmon,,,often
cigarette,carton,a,a,sometimes
brass,drum,a,a,rarely
baby,booty,a,a,almost always
dirty,shirt,a,a,never
purple,triangle,a,a,never
bright,moonlight,,,often
icecream,scoop,a,an,never
sliced,cheese,,,rarely
sweet,cocoa,,,rarely
van,window,a,a,never
bunny,clothes,,,never
orange,tail,a,an,sometimes
bead,string,a,a,almost always
mirror,piece,a,a,never
yellow,guy,a,a,rarely
food,bowl,a,a,almost always
red,foot,a,a,rarely
bird,nest,a,a,often
color,clothes,,,almost always
elephant,puzzle,a,an,never
window,frame,a,a,often
pink,snail,a,a,almost always
blind,mom,a,a,rarely
teddy,workshop,a,a,always
rabbit,stew,a,a,almost always
purple,horn,a,a,sometimes
puzzle,book,a,a,sometimes
farm,animal,an,a,often
tiger,baby,a,a,never
wet,whisker,a,a,about half the time
tube,company,a,a,almost always
steel,worker,a,a,always
yellow,brush,a,a,rarely
orange,leg,a,an,sometimes
green,spider,a,a,rarely
jump,rope,a,a,rarely
bright,beak,a,a,often
brown,path,a,a,never
naked,person,a,a,about half the time
furry,bear,a,a,often
green,cactus,a,a,often
soldier,crab,a,a,almost always
purple,turtle,a,a,never
plastic,metal,,,often
juicy,meat,a,a,often
yellow,rake,a,a,rarely
pink,pig,a,a,almost always
mama,elephant,an,a,sometimes
baby,sock,a,a,almost always
green,shell,a,a,almost always
room,clock,a,a,almost always
fish,skeleton,a,a,never
mutton,head,a,a,almost always
strawberry,color,a,a,sometimes
chicken,coop,a,a,almost always
curtain,ring,a,a,never
manor,ground,,,almost always
hill,riding,,,often
paddle,wheel,a,a,almost always
country,mouse,a,a,almost always
purple,saber,a,a,rarely
red,kite,a,a,sometimes
baby,monkey,a,a,sometimes
rubber,book,a,a,almost always
sun,block,a,a,often
mantel,fire,,,almost always
porcelain,doll,a,a,often
cut,dude,a,a,about half the time
quarter,moon,a,a,about half the time
pink,pickle,a,a,never
silver,packet,a,a,often
bear,cub,a,a,about half the time
broken,tv,a,a,rarely
poison,apple,an,a,rarely
stroller,baby,a,a,often
solid,path,a,a,almost always
top,penthouse,a,a,never
red,planet,a,a,almost always
cookie,day,a,a,often
noodle,soup,,,sometimes
television,actress,an,a,almost always
solid,line,a,a,often
baby,raccoon,a,a,about half the time
frame,chip,a,a,rarely
bright,punch,a,a,rarely
yellow,saddle,a,a,almost always
mommy,doggie,a,a,almost always
cinnamon,roll,a,a,often
foot,ball,a,a,often
puzzle,maker,a,a,sometimes
purple,teddy,a,a,about half the time
room,slipper,a,a,often
wood,cylinder,a,a,often
pink,scooter,a,a,sometimes
manual,gear,a,a,almost always
concrete,floor,a,a,almost always
yellow,mouth,a,a,almost always
plant,debris,,,often
shield,brooch,a,a,almost always
outside,soccer,,,always
upstairs,sleeping,,,always
ladybug,toy,a,a,sometimes
tonic,glass,a,a,never
fish,pie,a,a,rarely
purple,bug,a,a,never
red,jacket,a,a,almost always
flower,piece,a,a,often
tissue,paper,a,a,almost always
city,mouse,a,a,about half the time
dark,shadow,a,a,almost always
green,toy,a,a,about half the time
wet,bucket,a,a,always
sister,game,a,a,almost always
bottom,hair,,,always
frog,book,a,a,rarely
juicy,worm,a,a,never
diving,dummy,a,a,almost always
purple,flag,a,a,never
snow,tiger,a,a,rarely
dark,tunnel,a,a,often
umbrella,tree,a,an,sometimes
fuzzy,bone,a,a,never
glass,slipper,a,a,never
dinosaur,hunter,a,a,rarely
shop,book,a,a,almost always
sister,church,a,a,about half the time
color,block,a,a,never
baby,person,a,a,rarely
dark,chap,a,a,rarely
green,bone,a,a,always
ocean,world,a,an,always
wet,man,a,a,sometimes
purple,guy,a,a,never
broken,pen,a,a,rarely
solid,hedge,a,a,never
green,bag,a,a,rarely
fish,hook,a,a,rarely
yellow,glasses,,,rarely
sea,horse,a,a,rarely
wooden,table,a,a,often
yellow,sheet,a,a,rarely
jet,engine,an,a,never
night,star,a,a,never
color,grey,,,always
country,lane,a,a,never
orange,rock,a,an,rarely
bank,account,an,a,never
train,table,a,a,never
dead,dad,a,a,rarely
group,secretary,a,a,about half the time
basket,game,a,a,sometimes
yellow,girl,a,a,almost always
mucus,sack,a,a,never
dirty,tank,a,a,always
brown,bag,a,a,never
marble,hearth,a,a,rarely
box,cooler,a,a,often
movie,puppet,a,a,often
cigarette,smoke,,,sometimes
dinosaur,leg,a,a,almost always
green,glove,a,a,about half the time
baby,nose,a,a,never
dead,battery,a,a,about half the time
car,mat,a,a,almost always
dead,ant,an,a,almost always
lemon,chicken,a,a,almost always
giant,bomb,a,a,often
round,cracker,a,a,sometimes
brown,person,a,a,sometimes
